"","cov_id","ts_id"
"322","lacl_lclaro_lvl","nps_lacl_lclaro"
"323","lacl_tazir_stream_water","nps_lacl_tazir_stream_water"
"324","lacl_tlikr_stream_water","nps_lacl_tlikr_stream_water"
"325","nps_chulitna_siteb","nps_chulitna_siteb"
"326","nps_hardenburg_bay","nps_hardenburg_bay"
"327","nps_little_kijik_river_dan","nps_little_kijik_river_dan"
"328","nps_newhalen_river","nps_newhalen_river"
"329","nps_six_mile_outlet","nps_six_mile_outlet"
"330","caribou creek","nps_caribou creek"
"331","crystal creek","nps_crystal creek"
"332","gilahina river","nps_gilahina river"
"333","lakina river","nps_lakina river"
"334","long lake creek","nps_long lake creek"
"335","rock creek wrst","nps_rock creek wrst"
"336","rufus creek","nps_rufus creek"
"337","nv_eyak_hartney creek","nv_eyak_hartney creek"
"338","nv_eyak_heney creek","nv_eyak_heney creek"
"339","pwscc_erb","pwscc_erb"
"340","pwscc_gilmour","pwscc_gilmour"
"341","pwscc_hogan","pwscc_hogan"
"342","pwscc_stockdale","pwscc_stockdale"
"343","usfs_18 mile","usfs_18 mile"
"344","usfs_18 mile middle fork","usfs_18 mile middle fork"
"345","usfs_18 mile west fork","usfs_18 mile west fork"
"346","usfs_24.9 mile creek","usfs_24.9 mile creek"
"347","usfs_25 mile","usfs_25 mile"
"348","usfs_bench creek","usfs_bench creek"
"349","usfs_blackhole creek","usfs_blackhole creek"
"350","usfs_cabin lake outlet","usfs_cabin lake outlet"
"351","usfs_center creek","usfs_center creek"
"352","usfs_chickaloon headwaters","usfs_chickaloon headwaters"
"353","usfs_crescent creek","usfs_crescent creek"
"354","usfs_daves creek","usfs_daves creek"
"355","usfs_eagle creek","usfs_eagle creek"
"356","usfs_east fork 18 mile","usfs_east fork 18 mile"
"357","usfs_erb creek","usfs_erb creek"
"358","usfs_eyak lake tributary","usfs_eyak lake tributary"
"359","usfs_hell's hole trib","usfs_hell's hole trib"
"360","usfs_hook point","usfs_hook point"
"361","usfs_ibeck creek-low","usfs_ibeck creek-low"
"362","usfs_ibeck creek-lower side channel","usfs_ibeck creek-lower side channel"
"363","usfs_jackpot river","usfs_jackpot river"
"364","usfs_juneau creek","usfs_juneau creek"
"365","usfs_koppen creek","usfs_koppen creek"
"366","usfs_little martin river","usfs_little martin river"
"367","usfs_martin lake- inlet","usfs_martin lake- inlet"
"368","usfs_middle arm eyak","usfs_middle arm eyak"
"369","usfs_olsen creek","usfs_olsen creek"
"370","usfs_pigot bay spawn channel","usfs_pigot bay spawn channel"
"371","usfs_power creek","usfs_power creek"
"372","usfs_quartz creek","usfs_quartz creek"
"373","usfs_resurrection creek","usfs_resurrection creek"
"374","usfs_rude river sc","usfs_rude river sc"
"375","usfs_salmon creek","usfs_salmon creek"
"376","usfs_sheep river","usfs_sheep river"
"377","usfs_shelter bay trib","usfs_shelter bay trib"
