cat_ID_con,Latitude,Longitude
Cook_Inlet_75000700033509,62.3844951652573,-150.169726465398
Cook_Inlet_75000700031070,62.7914262602482,-149.151800540397
Cook_Inlet_75000700036133,62.4818387917189,-147.563850714879
Cook_Inlet_75000700036713,62.8275725985219,-148.251537700365
Cook_Inlet_75000700049611,62.8216794683957,-149.175132065561
Cook_Inlet_75000700036219,62.7159560179074,-149.811646642654
Cook_Inlet_75000700049477,62.7968427309974,-149.666113311143
Cook_Inlet_75000700036340,62.8009686514045,-149.288561732667
Cook_Inlet_75000700041984,62.8302625993448,-148.258487470907
Cook_Inlet_75000700044263,62.8294270989982,-149.378185511704
Cook_Inlet_75000700049829,62.7567697002121,-148.597376907952
Cook_Inlet_75000700049481,62.7851085276153,-149.652932409533
Cook_Inlet_75000700031053,62.9318298523893,-149.18580298267
Cook_Inlet_75000700036399,62.9559817368523,-149.119257649452
Cook_Inlet_75000700041653,62.8323055766234,-149.05243290042
Cook_Inlet_75000700036455,62.7679271200338,-148.980015264847
Cook_Inlet_75000700038833,62.7605773724868,-149.67518034917
Cook_Inlet_75000700044264,62.8346124769346,-149.370577645462
Cook_Inlet_75000700031304,62.8231203057828,-148.615446702011
Cook_Inlet_75000700032275,62.6397961738388,-147.384127068267
Cook_Inlet_75000700033653,62.8985987953554,-149.457213654908
Cook_Inlet_75000700046720,62.5816982764585,-150.051366237981
Cook_Inlet_75000700044836,62.7003653816105,-148.030354344337
Cook_Inlet_75000700045019,62.7671142017866,-147.890371614285
Cook_Inlet_75000700042261,62.7719825472306,-147.954403973131
Cook_Inlet_75000700039998,62.6964516777396,-147.593121421944
Cook_Inlet_75000700031253,62.7821959620843,-148.729093811687
Cook_Inlet_75000500013783,63.2809712017828,-149.129303661979
Cook_Inlet_75000500009993,63.1312234352139,-149.436508948783
Cook_Inlet_75000500003409,63.0539783814434,-149.598917915513
Cook_Inlet_75000500001552,63.1100837969303,-149.520008440067
Cook_Inlet_75000500008473,62.6751159393784,-150.339049859502
Cook_Inlet_75000500015553,63.1181538995716,-149.52059081542
Cook_Inlet_75000500009750,63.1596631080636,-149.151328186022
Cook_Inlet_75000500009358,62.9746804067874,-149.704439031267
Cook_Inlet_75000500011225,62.9049504840959,-149.761746089904
Cook_Inlet_75000500005048,62.9032621935682,-149.871149080135
Cook_Inlet_75000500013555,63.0519231272136,-149.580662691164
Cook_Inlet_75000500008023,62.7273578873778,-150.281589797748
Cook_Inlet_75000500006217,62.6271309490576,-150.680088674235
Cook_Inlet_75000500012136,62.6596378621106,-150.833303431809
Cook_Inlet_75000500010561,62.691309705003,-150.242647670651
Cook_Inlet_75000500002477,62.6735285344977,-150.27901797505
