Year,Stream,WatershedSlope,CumulativeSummerPrecip,PcntNorthFacing,MeanAirTemp,SnowResidual,TempSensitivity,MeanStreamTemp
2014,Joe,25.041393,29.9974,-2.465496276,12.84240802,-8.298292231,0.320693179,8.119608766
2014,Cottonwood,29.522666,29.9974,-1.906520963,12.84240802,-11.83926031,0.341160783,8.02864294
2014,Kema,6.499086,29.9974,-0.602258763,12.84240802,8.623053058,0.477057953,12.3445184
2014,Whitefish,3.76125,29.9974,-0.667728931,12.84240802,-10.35632282,0.42741787,12.64111796
2014,Bear,12.483559,29.9974,-0.429630577,12.84240802,1.100625921,0.156831817,7.744405844
2014,Hansen,8.52333,29.9974,-1.928388895,12.84240802,-49.50727509,0.408409527,9.014752164
2014,Stovall,3.342202,29.9974,-0.681491406,12.84240802,-0.439131205,0.736421365,14.89899513
2014,NerkaBear,3.172538,29.9974,-0.784660009,12.84240802,3.549994046,0.616034547,14.41231634
2014,Rainbow,26.3011,29.9974,-1.584790211,12.84240802,-0.14640671,0.027461908,6.285438657
2014,Eagle,7.855616,29.9974,-1.855147022,12.84240802,-24.97929875,0.327601828,8.508773268
2014,Mission,9.810514,29.9974,-2.041284619,12.84240802,-12.20542281,0.117970981,5.361127976
2014,SilverSalmon,4.59081,29.9974,-0.571038317,12.84240802,-17.43550392,0.532980248,13.48402295
2014,Allah,19.366984,29.9974,-0.56081257,12.84240802,1.562030561,0.364203292,8.413791667
2014,Berm,17.17625,29.9974,-2.478771661,12.84240802,-18.84191049,0.364346756,8.073077381
2014,Seventh,11.898106,29.9974,-2.12007121,12.84240802,-3.965468213,0.320852266,8.825132143
2014,Uno,15.831892,29.9974,-2.341923173,12.84240802,1.535622116,0.134482847,6.995335821
2014,C,21.754516,29.9974,-4.840806802,12.84240802,-16.6630426,0.117775892,4.312094156
2014,Cabin,21.500231,29.9974,-1.683439304,12.84240802,-2.17436052,0.363744856,7.752421537
2014,Fifer,7.975384,29.9974,-0.726960394,12.84240802,-14.87380776,0.366009477,8.634650736
2014,LynxCold,11.269006,29.9974,-1.155246905,12.84240802,-4.700605015,0.171392247,7.279601732
