SiteID,SourceName,Year
CIK_3,CIK,2008
CIK_3,CIK,2009
CIK_3,CIK,2010
CIK_3,CIK,2011
CIK_3,CIK,2013
CIK_3,CIK,2014
CIK_3,CIK,2015
CIK_3,CIK,2016
CIK_3,CIK,2017
CIK_3,CIK,2018
CIK_3,CIK,2019
CIK_30,CIK,2008
CIK_30,CIK,2009
CIK_30,CIK,2010
CIK_30,CIK,2011
CIK_30,CIK,2012
CIK_30,CIK,2013
CIK_30,CIK,2014
CIK_30,CIK,2015
CIK_30,CIK,2016
CIK_30,CIK,2017
CIK_30,CIK,2018
CIK_30,CIK,2019
CIK_31,CIK,2008
CIK_31,CIK,2009
CIK_31,CIK,2010
CIK_31,CIK,2011
CIK_31,CIK,2012
CIK_32,CIK,2009
CIK_32,CIK,2010
CIK_32,CIK,2011
CIK_33,CIK,2008
CIK_33,CIK,2009
CIK_33,CIK,2010
CIK_33,CIK,2011
CIK_34,CIK,2009
CIK_34,CIK,2011
CIK_35,CIK,2008
CIK_35,CIK,2009
CIK_35,CIK,2010
CIK_35,CIK,2011
CIK_35,CIK,2012
CIK_35,CIK,2013
CIK_35,CIK,2014
CIK_35,CIK,2015
CIK_35,CIK,2016
CIK_35,CIK,2017
CIK_35,CIK,2018
CIK_35,CIK,2019
CIK_36,CIK,2008
CIK_36,CIK,2009
CIK_36,CIK,2010
CIK_36,CIK,2011
CIK_37,CIK,2008
CIK_37,CIK,2009
CIK_37,CIK,2010
CIK_37,CIK,2011
CIK_38,CIK,2008
CIK_38,CIK,2009
CIK_38,CIK,2011
CIK_38,CIK,2012
CIK_38,CIK,2013
CIK_38,CIK,2014
CIK_38,CIK,2015
CIK_38,CIK,2016
CIK_38,CIK,2017
CIK_38,CIK,2018
CIK_38,CIK,2019
CIK_39,CIK,2008
CIK_39,CIK,2009
CIK_39,CIK,2010
CIK_39,CIK,2011
CIK_39,CIK,2012
CIK_4,CIK,2008
CIK_4,CIK,2009
CIK_4,CIK,2010
CIK_4,CIK,2012
CIK_4,CIK,2013
CIK_4,CIK,2014
CIK_4,CIK,2015
CIK_4,CIK,2016
CIK_4,CIK,2017
CIK_4,CIK,2018
CIK_4,CIK,2019
CIK_40,CIK,2008
CIK_40,CIK,2009
CIK_40,CIK,2010
CIK_40,CIK,2011
CIK_40,CIK,2012
CIK_41,CIK,2008
CIK_41,CIK,2009
CIK_41,CIK,2010
CIK_41,CIK,2012
CIK_42,CIK,2009
CIK_42,CIK,2010
CIK_43,CIK,2008
CIK_43,CIK,2009
CIK_43,CIK,2011
CIK_43,CIK,2012
CIK_44,CIK,2009
CIK_45,CIK,2011
CIK_46,CIK,2010
CIK_46,CIK,2011
CIK_47,CIK,2009
CIK_47,CIK,2010
CIK_48,CIK,2011
CIK_5,CIK,2008
CIK_5,CIK,2009
CIK_5,CIK,2010
CIK_5,CIK,2011
CIK_5,CIK,2012
CIK_5,CIK,2014
CIK_5,CIK,2015
CIK_6,CIK,2003
CIK_6,CIK,2004
CIK_6,CIK,2005
CIK_6,CIK,2006
CIK_6,CIK,2007
CIK_6,CIK,2008
CIK_6,CIK,2009
CIK_6,CIK,2010
CIK_6,CIK,2011
CIK_6,CIK,2013
CIK_6,CIK,2014
CIK_6,CIK,2015
CIK_6,CIK,2016
CIK_6,CIK,2017
CIK_6,CIK,2018
CIK_6,CIK,2019
CIK_7,CIK,2008
CIK_7,CIK,2009
CIK_7,CIK,2010
CIK_7,CIK,2011
CIK_8,CIK,2004
CIK_8,CIK,2005
CIK_8,CIK,2006
CIK_8,CIK,2007
CIK_8,CIK,2008
CIK_8,CIK,2009
CIK_8,CIK,2010
CIK_8,CIK,2011
CIK_8,CIK,2012
CIK_8,CIK,2013
CIK_8,CIK,2014
CIK_8,CIK,2015
CIK_8,CIK,2016
CIK_8,CIK,2017
CIK_8,CIK,2018
CIK_8,CIK,2019
CIK_9,CIK,2008
CIK_9,CIK,2009
CIK_9,CIK,2010
CIK_9,CIK,2011
CIK_9,CIK,2012
CIK_9,CIK,2014
CIK_9,CIK,2015
CIK_9,CIK,2019
Deshka 1 Downstream,CIK,2017
Deshka 1 Downstream,CIK,2018
Deshka 1 Downstream,CIK,2019
Deshka 1 Tributary,CIK,2017
Deshka 1 Tributary,CIK,2018
Deshka 1 Tributary,CIK,2019
Deshka 1 Upstream,CIK,2017
Deshka 1 Upstream,CIK,2018
Deshka 2 Downstream,CIK,2018
Deshka 2 Downstream,CIK,2019
Deshka 2 Tributary,CIK,2017
Deshka 2 Tributary,CIK,2018
Deshka 2 Tributary,CIK,2019
Deshka 2 Upstream,CIK,2017
Deshka 2 Upstream,CIK,2018
Deshka 3 Downstream,CIK,2017
Deshka 3 Downstream,CIK,2018
Deshka 3 Downstream,CIK,2019
Deshka 3 Tributary,CIK,2017
Deshka 3 Tributary,CIK,2018
Deshka 3 Tributary,CIK,2019
Deshka 3 Upstream,CIK,2018
Deshka 4 Downstream,CIK,2017
Deshka 4 Downstream,CIK,2019
Deshka 4 Tributary,CIK,2017
Deshka 4 Tributary,CIK,2018
Deshka 4 Tributary,CIK,2019
Deshka 4 Upstream,CIK,2017
Deshka 4 Upstream,CIK,2018
Deshka 4 Upstream,CIK,2019
Deshka 5 Downstream,CIK,2018
Deshka 5 Downstream,CIK,2019
Deshka 5 Tributary,CIK,2017
Deshka 5 Tributary,CIK,2018
Deshka 5 Tributary,CIK,2019
Deshka 6 Downstream,CIK,2017
Deshka 6 Downstream,CIK,2018
Deshka 6 Downstream,CIK,2019
Deshka 6 Tributary,CIK,2017
Deshka 6 Tributary,CIK,2018
Deshka 6 Tributary,CIK,2019
Deshka 6 Upstream,CIK,2017
Deshka 6 Upstream,CIK,2018
Deshka 6 Upstream,CIK,2019
Kroto 1 Downstream,CIK,2017
Kroto 1 Downstream,CIK,2018
Kroto 1 Downstream,CIK,2019
Kroto 1 Tributary,CIK,2017
Kroto 1 Tributary,CIK,2018
Kroto 1 Tributary,CIK,2019
Kroto 1 Upstream,CIK,2017
Kroto 1 Upstream,CIK,2018
Kroto 1 Upstream,CIK,2019
Kroto 2 Downstream,CIK,2017
Kroto 2 Downstream,CIK,2018
Kroto 2 Downstream,CIK,2019
Kroto 2 Tributary,CIK,2017
Kroto 2 Tributary,CIK,2018
Kroto 2 Tributary,CIK,2019
Kroto 2 Upstream,CIK,2017
Kroto 2 Upstream,CIK,2018
Kroto 2 Upstream,CIK,2019
Kroto 3 Downstream,CIK,2017
Kroto 3 Downstream,CIK,2018
Kroto 3 Downstream,CIK,2019
Kroto 3 Tributary,CIK,2017
Kroto 3 Tributary,CIK,2018
Kroto 3 Tributary,CIK,2019
Kroto 3 Upstream,CIK,2017
Kroto 3 Upstream,CIK,2018
Kroto 3 Upstream,CIK,2019
Kroto 4 Downstream,CIK,2017
Kroto 4 Downstream,CIK,2018
Kroto 4 Downstream,CIK,2019
Kroto 4 Tributary,CIK,2017
Kroto 4 Tributary,CIK,2018
Kroto 4 Tributary,CIK,2019
Kroto 4 Upstream,CIK,2017
Kroto 4 Upstream,CIK,2018
Kroto 4 Upstream,CIK,2019
Kroto 5 Downstream,CIK,2017
Kroto 5 Downstream,CIK,2018
Kroto 5 Downstream,CIK,2019
Kroto 6 Downstream,CIK,2017
Kroto 6 Downstream,CIK,2018
Kroto 6 Downstream,CIK,2019
Kroto 6 Tributary,CIK,2018
Kroto 6 Upstream,CIK,2017
Kroto 6 Upstream,CIK,2018
Kroto 6 Upstream,CIK,2019
Kroto 7 Downstream,CIK,2017
Kroto 7 Downstream,CIK,2018
Kroto 7 Downstream,CIK,2019
Kroto 7 Tributary,CIK,2018
Kroto 7 Tributary,CIK,2019
Kroto 7 Upstream,CIK,2017
Kroto 7 Upstream,CIK,2018
Kroto 7 Upstream,CIK,2019
Kroto 8 Downstream,CIK,2017
Kroto 8 Downstream,CIK,2018
Kroto 8 Tributary,CIK,2017
Kroto 8 Tributary,CIK,2018
Kroto 8 Upstream,CIK,2017
Kroto 8 Upstream,CIK,2018
Kroto 8 Upstream,CIK,2019
Moose 1 Top of Study,CIK,2017
