cat_ID_con,HUC12,sp_ls,dist_coast_km,Region,wtd_area_sqKM,str_slope,cat_elev_MEAN,cat_slope_MEAN,wtd_north_per,wtd_slope_MEAN,wtd_glacier_per,wtd_lake_per,wtd_wet_per,name,wtd_lcld_jd,Year,summer_precip,intercept,snow_tc,preds_airDL,snow_year,Chinook,Sockeye,Chum,Pink,Coho,Spawning,Rearing
Prince_William_Sound_27303,190202030201,P_s,0.20013808659122,Prince_William_Sound,0.3142,0.039930767193,119.43602800763843,22.21626897946243,35.232338,22.216268979462416,0,2.905877227237673,1.9096117,AwcHuc12_wtd_lcld_mn_2019,469,2019,195.1,-6.465577198424637,422.21658223660575,0.012889309602684624,min,0,0,0,1,0,1,0
Prince_William_Sound_24654,190202030202,P_p,0.174833480012115,Prince_William_Sound,1.3754,0.034666528526,33.68466353677622,9.92488469442813,17.2749748,16.027434536848617,0,0.910936648643047,15.217391,AwcHuc12_wtd_lcld_mn_2015,421,2015,695.54,-13.989906438165256,377.9236816661418,0.27159036374905693,min,0,0,0,1,0,0,0
Prince_William_Sound_38615,190202030203,P_p,0.095946982362035,Prince_William_Sound,4.2684,0.061777266465,38.93205741626797,19.793113889473577,26.6423016,26.593380693358128,0,2.871567882001589,1.6469872,AwcHuc12_wtd_lcld_mn_2016,440.81157337367745,2016,1047.79,-11.916184305714133,380.6340143128446,0.11252381326470116,min,0,0,0,1,0,0,0
Prince_William_Sound_39065,190202030204,"S_s, DV_r, CT_r, CO_s, P_s, S_r, CO_r",0.066610385678221,Prince_William_Sound,4.5379,0.033224784556,54.25239167135612,17.804072182419137,10.7847242,23.40652238993238,0,5.100786632496673,5.0640163,AwcHuc12_wtd_lcld_mn_2016,439.97527804990506,2016,1026.66,-11.916184305714133,385.58119438268795,0.053369905063112066,min,0,1,0,1,1,1,1
Prince_William_Sound_40615,190202030205,P_s,0.287639710750412,Prince_William_Sound,6.457199999999999,0.040646485745,128.4923076923076,24.808402286256424,18.8874435,28.709116236117367,0.418428380323627,3.603278589458817,0.6411448,AwcHuc12_wtd_lcld_mn_2016,502.0042762569358,2016,952.22,-11.916184305714133,437.98710360619447,-0.056157196535967124,min,0,0,0,1,0,1,0
Prince_William_Sound_37815,190202030206,"S_p, CH_p, P_p, DV_r, CO_p, CO_r",0.580634281551771,Prince_William_Sound,5.2671,0.009342145587,81.22750261597493,19.70777717757446,25.5776424,28.647266089278006,0,10.931249920458779,0.6607051,AwcHuc12_wtd_lcld_mn_2016,470.154905263157,2016,1041.59,-11.916184305714133,406.2499775785481,0.04172588652910679,min,0,1,1,1,1,0,1
Prince_William_Sound_35075,190202030207,"P_s, P_p, CH_p",0.023174905150308,Prince_William_Sound,1.7409,0.058578643763,16.89928057553957,8.171619742251128,10.2705498,23.273847824383633,0,0.781399013879638,1.849618,AwcHuc12_wtd_lcld_mn_2016,465.48549600781104,2016,983.79,-11.916184305714133,411.33218868273156,0.05651315407773628,min,0,0,1,1,0,1,0
Prince_William_Sound_19416,190202030209,P_s,0.098640771280396,Prince_William_Sound,0.7687999999999999,0.028543136506,120.62274923144497,30.853326922887426,4.9687824,31.7316545191324,0,0,0.5853278,AwcHuc12_wtd_lcld_mn_2016,461.2104442712393,2016,908.38,-11.916184305714133,391.7080023924034,-0.04751100944630725,min,0,0,0,1,0,1,0
Prince_William_Sound_30596,190202030301,P_s,0.016200383699549,Prince_William_Sound,9.0998,0,10.680297397769518,8.294734565916118,24.5379028,22.44553120272866,0,3.439950676446855,1.5242094,AwcHuc12_wtd_lcld_mn_2016,496.89124477934894,2016,711.08,-11.916184305714133,444.2411573477661,0.26812729954222403,min,0,0,0,1,0,1,0
Prince_William_Sound_13227,190202030302,P_p,0.224394049102986,Prince_William_Sound,1.3077999999999999,0.072482556536,24.72053872053872,8.719176575342345,48.0119286,23.717150743963764,0,0,0.6881786,AwcHuc12_wtd_lcld_mn_2016,469.8805104408355,2016,595.83,-11.916184305714133,414.9227018536341,0.07306562405138219,min,0,0,0,1,0,0,0
