OID_,AwcHuc12_non_north_area,AwcHuc12_north_area,region,AwcHuc12_wtd_north_per,cat_ID_txt,cat_ID_con
41,838000.000000000000000,216500.000000000000000,Cook_Inlet,20.5310574,75004200005907,Cook_Inlet_75004200005907
42,229068700.000000000000000,101057200.000000000000000,Cook_Inlet,30.6117153,75004300004332,Cook_Inlet_75004300004332
43,43139100.000000000000000,22269400.000000000000000,Cook_Inlet,34.0466461,75004300005723,Cook_Inlet_75004300005723
44,379952300.000000000000000,121787800.000000000000000,Cook_Inlet,24.2730846,75004300006970,Cook_Inlet_75004300006970
45,36258200.000000000000000,9710200.000000000000000,Cook_Inlet,21.1236420,75004300002057,Cook_Inlet_75004300002057
46,54015500.000000000000000,19472200.000000000000000,Cook_Inlet,26.4972229,75004300005518,Cook_Inlet_75004300005518
47,107688600.000000000000000,46973800.000000000000000,Cook_Inlet,30.3718300,75004300004701,Cook_Inlet_75004300004701
48,65322700.000000000000000,27838800.000000000000000,Cook_Inlet,29.8823013,75004300004365,Cook_Inlet_75004300004365
49,44162900.000000000000000,27123200.000000000000000,Cook_Inlet,38.0483704,75004300006839,Cook_Inlet_75004300006839
50,55855900.000000000000000,31212500.000000000000000,Cook_Inlet,35.8482513,75004300007978,Cook_Inlet_75004300007978
51,22267100.000000000000000,4721500.000000000000000,Cook_Inlet,17.4944229,75004300007859,Cook_Inlet_75004300007859
52,174047500.000000000000000,56372000.000000000000000,Cook_Inlet,24.4649429,75004300005004,Cook_Inlet_75004300005004
53,45292000.000000000000000,11688500.000000000000000,Cook_Inlet,20.5131588,75004300005103,Cook_Inlet_75004300005103
54,40941600.000000000000000,10869500.000000000000000,Cook_Inlet,20.9790955,75004300000311,Cook_Inlet_75004300000311
55,39574600.000000000000000,19839400.000000000000000,Cook_Inlet,33.3917923,75004300008012,Cook_Inlet_75004300008012
56,43799400.000000000000000,13686900.000000000000000,Cook_Inlet,23.8089771,75004300001135,Cook_Inlet_75004300001135
57,103802700.000000000000000,33091700.000000000000000,Cook_Inlet,24.1731586,75004300007259,Cook_Inlet_75004300007259
58,139317500.000000000000000,43727800.000000000000000,Cook_Inlet,23.8890591,75004300001162,Cook_Inlet_75004300001162
59,31929000.000000000000000,17388600.000000000000000,Cook_Inlet,35.2584076,75004300002654,Cook_Inlet_75004300002654
60,46583800.000000000000000,20334900.000000000000000,Cook_Inlet,30.3874702,75004300006302,Cook_Inlet_75004300006302
61,19434100.000000000000000,9580000.000000000000000,Cook_Inlet,33.0184288,75004300002547,Cook_Inlet_75004300002547
62,28742200.000000000000000,9825000.000000000000000,Cook_Inlet,25.4750156,75004300006726,Cook_Inlet_75004300006726
63,116280200.000000000000000,38313100.000000000000000,Cook_Inlet,24.7831573,75004300003713,Cook_Inlet_75004300003713
64,1652373800.000000000000000,527064000.000000000000000,Cook_Inlet,24.1834850,75004300002688,Cook_Inlet_75004300002688
65,37723400.000000000000000,20006800.000000000000000,Cook_Inlet,34.6556931,75004300000754,Cook_Inlet_75004300000754
66,36725300.000000000000000,17909100.000000000000000,Cook_Inlet,32.7798958,75004300003311,Cook_Inlet_75004300003311
67,1384563400.000000000000000,430601100.000000000000000,Cook_Inlet,23.7224293,75004300002834,Cook_Inlet_75004300002834
68,399156600.000000000000000,174081100.000000000000000,Cook_Inlet,30.3680477,75004300001258,Cook_Inlet_75004300001258
69,51580300.000000000000000,17950700.000000000000000,Cook_Inlet,25.8168297,75004300007331,Cook_Inlet_75004300007331
70,5329800.000000000000000,1824400.000000000000000,Cook_Inlet,25.5011044,75004300001638,Cook_Inlet_75004300001638
71,61611500.000000000000000,36286300.000000000000000,Cook_Inlet,37.0654907,75004300002755,Cook_Inlet_75004300002755
72,29298000.000000000000000,7652500.000000000000000,Cook_Inlet,20.7101383,75004300005625,Cook_Inlet_75004300005625
73,173111200.000000000000000,80665500.000000000000000,Cook_Inlet,31.7860146,75004300006594,Cook_Inlet_75004300006594
74,28824500.000000000000000,12804600.000000000000000,Cook_Inlet,30.7587719,75004300006376,Cook_Inlet_75004300006376
75,135503200.000000000000000,59384300.000000000000000,Cook_Inlet,30.4710674,75004300004090,Cook_Inlet_75004300004090
76,27144000.000000000000000,9602500.000000000000000,Cook_Inlet,26.1317406,75004300002183,Cook_Inlet_75004300002183
77,10878900.000000000000000,2818700.000000000000000,Cook_Inlet,20.5780582,75004300006207,Cook_Inlet_75004300006207
78,275766500.000000000000000,97300600.000000000000000,Cook_Inlet,26.0812607,75004300002023,Cook_Inlet_75004300002023
79,25851100.000000000000000,13300800.000000000000000,Cook_Inlet,33.9722977,75004300004018,Cook_Inlet_75004300004018
80,101446500.000000000000000,35175900.000000000000000,Cook_Inlet,25.7468033,75004300000582,Cook_Inlet_75004300000582
81,90284200.000000000000000,52960900.000000000000000,Cook_Inlet,36.9722252,75004300005478,Cook_Inlet_75004300005478
82,37084200.000000000000000,13236200.000000000000000,Cook_Inlet,26.3038445,75004300008120,Cook_Inlet_75004300008120
83,106909500.000000000000000,57374200.000000000000000,Cook_Inlet,34.9238548,75004300000022,Cook_Inlet_75004300000022
84,15749500.000000000000000,9092000.000000000000000,Cook_Inlet,36.6000443,75004300002181,Cook_Inlet_75004300002181
85,41325200.000000000000000,12851100.000000000000000,Cook_Inlet,23.7208881,75004300002027,Cook_Inlet_75004300002027
86,103241300.000000000000000,40477500.000000000000000,Cook_Inlet,28.1643734,75004300006012,Cook_Inlet_75004300006012
87,439581500.000000000000000,145047000.000000000000000,Cook_Inlet,24.8101139,75004300002197,Cook_Inlet_75004300002197
88,78401300.000000000000000,13638200.000000000000000,Cook_Inlet,14.8177681,75004300005952,Cook_Inlet_75004300005952
89,70890100.000000000000000,26632000.000000000000000,Cook_Inlet,27.3086815,75004300001228,Cook_Inlet_75004300001228
90,411502100.000000000000000,182129100.000000000000000,Cook_Inlet,30.6805134,75004300006149,Cook_Inlet_75004300006149
91,122012300.000000000000000,39033600.000000000000000,Cook_Inlet,24.2375622,75004300004452,Cook_Inlet_75004300004452
92,13503900.000000000000000,1475400.000000000000000,Cook_Inlet,9.8495922,75004300007473,Cook_Inlet_75004300007473
93,618246000.000000000000000,211013300.000000000000000,Cook_Inlet,25.4459972,75004300004989,Cook_Inlet_75004300004989
94,38886800.000000000000000,14707100.000000000000000,Cook_Inlet,27.4417419,75004300004326,Cook_Inlet_75004300004326
95,8276300.000000000000000,2523500.000000000000000,Cook_Inlet,23.3661728,75004300005307,Cook_Inlet_75004300005307
96,16002100.000000000000000,4693700.000000000000000,Cook_Inlet,22.6794815,75004300005646,Cook_Inlet_75004300005646
97,45525300.000000000000000,19543300.000000000000000,Cook_Inlet,30.0349178,75004300003251,Cook_Inlet_75004300003251
98,36405300.000000000000000,8401800.000000000000000,Cook_Inlet,18.7510452,75004300006013,Cook_Inlet_75004300006013
99,19775200.000000000000000,3551300.000000000000000,Cook_Inlet,15.2243156,75004400008879,Cook_Inlet_75004400008879
100,81745300.000000000000000,31037900.000000000000000,Cook_Inlet,27.5199680,75004400008242,Cook_Inlet_75004400008242
101,234425400.000000000000000,87899400.000000000000000,Cook_Inlet,27.2704430,75004400007224,Cook_Inlet_75004400007224
102,61111300.000000000000000,27225200.000000000000000,Cook_Inlet,30.8198757,75004400011230,Cook_Inlet_75004400011230
103,70733200.000000000000000,19151100.000000000000000,Cook_Inlet,21.3063908,75004400002953,Cook_Inlet_75004400002953
104,383109800.000000000000000,151107500.000000000000000,Cook_Inlet,28.2857742,75004400001616,Cook_Inlet_75004400001616
105,20628500.000000000000000,8295700.000000000000000,Cook_Inlet,28.6808281,75004400000862,Cook_Inlet_75004400000862
106,519287100.000000000000000,148038700.000000000000000,Cook_Inlet,22.1838722,75004400007512,Cook_Inlet_75004400007512
107,330747800.000000000000000,96791100.000000000000000,Cook_Inlet,22.6391335,75004400010175,Cook_Inlet_75004400010175
108,53897800.000000000000000,36855600.000000000000000,Cook_Inlet,40.6107101,75004400006033,Cook_Inlet_75004400006033
109,111844500.000000000000000,42218400.000000000000000,Cook_Inlet,27.4033527,75004400006433,Cook_Inlet_75004400006433
110,36402600.000000000000000,15403200.000000000000000,Cook_Inlet,29.7325783,75004400009198,Cook_Inlet_75004400009198
111,116761000.000000000000000,44960800.000000000000000,Cook_Inlet,27.8013229,75004400010610,Cook_Inlet_75004400010610
112,79763800.000000000000000,18269600.000000000000000,Cook_Inlet,18.6360970,75004400007465,Cook_Inlet_75004400007465
113,3432999500.000000000000000,1136383500.000000000000000,Cook_Inlet,24.8695183,75004400001569,Cook_Inlet_75004400001569
114,39981200.000000000000000,7351100.000000000000000,Cook_Inlet,15.5308323,75004400010402,Cook_Inlet_75004400010402
115,128694900.000000000000000,39314400.000000000000000,Cook_Inlet,23.4001331,75004400004652,Cook_Inlet_75004400004652
116,56991800.000000000000000,15007300.000000000000000,Cook_Inlet,20.8437328,75004400004450,Cook_Inlet_75004400004450
117,23173100.000000000000000,6190200.000000000000000,Cook_Inlet,21.0814171,75004400006170,Cook_Inlet_75004400006170
118,65720300.000000000000000,22003400.000000000000000,Cook_Inlet,25.0826168,75004400008856,Cook_Inlet_75004400008856
119,126821700.000000000000000,48756400.000000000000000,Cook_Inlet,27.7690678,75004400004455,Cook_Inlet_75004400004455
120,105341400.000000000000000,35901200.000000000000000,Cook_Inlet,25.4181099,75004400011676,Cook_Inlet_75004400011676
121,131600200.000000000000000,32314500.000000000000000,Cook_Inlet,19.7142181,75004400010754,Cook_Inlet_75004400010754
122,101936500.000000000000000,39693600.000000000000000,Cook_Inlet,28.0262451,75004400002950,Cook_Inlet_75004400002950
123,36165500.000000000000000,10396800.000000000000000,Cook_Inlet,22.3287945,75004400001134,Cook_Inlet_75004400001134
124,78822100.000000000000000,19089400.000000000000000,Cook_Inlet,19.4965858,75004400010270,Cook_Inlet_75004400010270
125,101719400.000000000000000,44350400.000000000000000,Cook_Inlet,30.3624706,75004400004680,Cook_Inlet_75004400004680
126,26990800.000000000000000,14052500.000000000000000,Cook_Inlet,34.2382317,75004400007830,Cook_Inlet_75004400007830
127,57232400.000000000000000,17679300.000000000000000,Cook_Inlet,23.6001854,75004400001464,Cook_Inlet_75004400001464
128,523469700.000000000000000,160395200.000000000000000,Cook_Inlet,23.4542236,75004400002279,Cook_Inlet_75004400002279
129,85686200.000000000000000,21908400.000000000000000,Cook_Inlet,20.3619881,75004400003189,Cook_Inlet_75004400003189
130,102696300.000000000000000,36479200.000000000000000,Cook_Inlet,26.2109356,75004400011320,Cook_Inlet_75004400011320
131,39179300.000000000000000,16802100.000000000000000,Cook_Inlet,30.0137196,75004400005660,Cook_Inlet_75004400005660
132,4099263800.000000000000000,1364028600.000000000000000,Cook_Inlet,24.9671535,75004400008899,Cook_Inlet_75004400008899
133,125013700.000000000000000,28063100.000000000000000,Cook_Inlet,18.3326931,75004400001136,Cook_Inlet_75004400001136
134,1720537900.000000000000000,522112500.000000000000000,Cook_Inlet,23.2810478,75004400000334,Cook_Inlet_75004400000334
135,1301279400.000000000000000,384914600.000000000000000,Cook_Inlet,22.8274212,75004400010328,Cook_Inlet_75004400010328
136,324111600.000000000000000,161491800.000000000000000,Cook_Inlet,33.2559052,75004400000370,Cook_Inlet_75004400000370
137,114610700.000000000000000,44166800.000000000000000,Cook_Inlet,27.8167877,75004400003230,Cook_Inlet_75004400003230
138,65038400.000000000000000,19398500.000000000000000,Cook_Inlet,22.9739609,75004400004743,Cook_Inlet_75004400004743
139,3746824400.000000000000000,1283834800.000000000000000,Cook_Inlet,25.5202103,75004400005985,Cook_Inlet_75004400005985
140,2857258900.000000000000000,971170000.000000000000000,Cook_Inlet,25.3673248,75004400005909,Cook_Inlet_75004400005909
141,34463000.000000000000000,11293200.000000000000000,Cook_Inlet,24.6812458,75004400009562,Cook_Inlet_75004400009562
142,52663000.000000000000000,13757400.000000000000000,Cook_Inlet,20.7126122,75004400010320,Cook_Inlet_75004400010320
143,72416200.000000000000000,30213500.000000000000000,Cook_Inlet,29.4393330,75004400004457,Cook_Inlet_75004400004457
144,42064400.000000000000000,11493700.000000000000000,Cook_Inlet,21.4602451,75004400010352,Cook_Inlet_75004400010352
145,28343000.000000000000000,6129400.000000000000000,Cook_Inlet,17.7806015,75004400010337,Cook_Inlet_75004400010337
146,54143300.000000000000000,16336500.000000000000000,Cook_Inlet,23.1789818,75004400006692,Cook_Inlet_75004400006692
147,275017700.000000000000000,94918200.000000000000000,Cook_Inlet,25.6580124,75004400005312,Cook_Inlet_75004400005312
148,572761300.000000000000000,199313000.000000000000000,Cook_Inlet,25.8152618,75004400005924,Cook_Inlet_75004400005924
149,41784100.000000000000000,5719100.000000000000000,Cook_Inlet,12.0393991,75004400011086,Cook_Inlet_75004400011086
150,195671200.000000000000000,52963600.000000000000000,Cook_Inlet,21.3017654,75004400003768,Cook_Inlet_75004400003768
151,77518800.000000000000000,28071100.000000000000000,Cook_Inlet,26.5850239,75004400011755,Cook_Inlet_75004400011755
152,426772600.000000000000000,125296300.000000000000000,Cook_Inlet,22.6957722,75004400008216,Cook_Inlet_75004400008216
153,2374661200.000000000000000,793598200.000000000000000,Cook_Inlet,25.0483971,75004400001652,Cook_Inlet_75004400001652
154,33482200.000000000000000,12262700.000000000000000,Cook_Inlet,26.8067036,75004400010699,Cook_Inlet_75004400010699
