cat_ID_con,wtd_lcld_mn_2001,wtd_lcld_mn_2002,wtd_lcld_mn_2003,wtd_lcld_mn_2004,wtd_lcld_mn_2005,wtd_lcld_mn_2006,wtd_lcld_mn_2007,wtd_lcld_mn_2008,wtd_lcld_mn_2009,wtd_lcld_mn_2010,wtd_lcld_mn_2011,wtd_lcld_mn_2012,wtd_lcld_mn_2013,wtd_lcld_mn_2014,wtd_lcld_mn_2015,wtd_lcld_mn_2016,wtd_lcld_mn_2017,wtd_lcld_mn_2018,wtd_lcld_mn_2019
Cook_Inlet_75004400007550,471.1132168855838,481.37682747213023,416.01741062675865,478.93604072201464,454.5341894004632,469.1131374435556,466.41930936986387,472.8468219914826,472.5175234554887,470.55147394954,475.36591108664885,480.49420237747574,492.47809589469705,445.2994697151269,420.03027793164614,440.48069065058513,472.66898507183174,468.1710952604317,451.3294323407539
Cook_Inlet_75004400003815,525.2774178854,515.7896865985773,513.3856798415761,510.05001747325156,515.1020709244765,523.8595435853346,510.44126619222953,535.6610498415375,508.49237248970337,523.514051132466,519.3794334268964,538.890464239267,523.0291482423308,501.3600106378086,508.02877702585283,519.7949575576082,512.4037687341522,518.2214444119685,516.8574094302769
Cook_Inlet_75004400000334,519.1271771469109,512.7467581014484,502.9470966148246,505.7429702320149,501.1419983799022,517.1030380488555,508.65383847660576,522.0175745270361,505.59553220118863,517.2726205548729,512.0034300738791,523.2809775911708,518.3929194141016,491.30068531435927,494.922303554368,505.42226853754244,506.89727364473276,506.4091380440811,504.0552777925553
Cook_Inlet_75004400010699,505.9682150359965,497.2790190819029,473.46147657990275,491.7524445348056,483.3044689134758,493.6522541310561,491.4920504799464,503.3778475851963,484.4999683024778,497.7341955059572,492.6435231031163,503.50563232185095,506.146693948396,464.12823068800867,477.95580709543844,478.8776125863247,477.69416481400464,481.49556562589845,489.4715170434347
Cook_Inlet_75004400001136,519.8108820134069,510.92880151820845,505.6370842282253,511.54299753652947,503.39041977616296,519.5471666836789,515.4108991162592,524.7280674115156,505.05297145471053,518.5589791533502,509.9905342336417,527.1843686583833,524.4961850790789,493.94031896804046,493.5927885200465,498.0835855454657,505.75885713534865,503.1358919626563,500.7987856980804
Cook_Inlet_75004400007224,553.7207610532664,545.005787877126,533.1057703960973,537.1911617288832,531.936865614298,547.2234971936056,543.3346076652791,553.5047301532552,542.2952931822022,549.622117660368,538.9876548425091,554.9156112269076,545.6295104086871,528.3748031417134,523.6199185925576,533.5316828360749,537.3535949458235,537.4712332774714,531.8380543941444
Cook_Inlet_75004400002041,513.7708997052454,507.2997455230866,502.8919364506166,498.82463085956266,498.19335899149576,515.8395509170688,502.6143811527621,517.6242745220947,501.0097610010254,514.159919554631,510.36251005608193,520.2283086014061,514.2203011679662,484.0977492763115,492.6640255577852,505.04334764137525,504.61298349181385,507.135387509102,499.16022202161474
Cook_Inlet_75004400011320,533.9654630553091,517.6267341401779,512.3214730168186,508.548183014844,506.38370518970464,527.2827054454972,517.9717033732912,534.6196890834124,515.2715044878628,531.6262433932425,516.7625194358741,533.2812813453083,523.7997033962781,499.9167246270192,505.0948578630168,516.6116804957211,514.1379703051393,507.9899881875876,509.12701723578334
Cook_Inlet_75004400006433,505.8455643766482,497.73040751535814,492.902117901182,494.7870674899612,490.5779418666103,505.12567139785017,496.628707495449,509.2273162455081,492.46656722675925,501.43234678822927,496.84580453827397,508.70948229585855,511.3153906618743,480.7799671432821,489.70058138591963,493.5352417746349,491.8593944421319,491.4673519711792,494.2770082868854
Cook_Inlet_75004400005985,509.0590524435282,507.06689471608024,482.5313948435069,501.7026404535314,492.44952771331657,506.5328815861681,500.21049680513664,511.43544142765376,499.0131732744204,506.4230174528014,503.73156646891135,511.97585006142015,513.5029177095267,482.7956018326061,476.7847336952947,491.572673904901,499.7015979332142,498.7033907287984,491.7265447385721
