OID_,cat_ID_con,AwcHuc12_wtd_lcld_mn_2001,AwcHuc12_wtd_lcld_mn_2002,AwcHuc12_wtd_lcld_mn_2003,AwcHuc12_wtd_lcld_mn_2004,AwcHuc12_wtd_lcld_mn_2005,AwcHuc12_wtd_lcld_mn_2006,AwcHuc12_wtd_lcld_mn_2007,AwcHuc12_wtd_lcld_mn_2008,AwcHuc12_wtd_lcld_mn_2009,AwcHuc12_wtd_lcld_mn_2010,AwcHuc12_wtd_lcld_mn_2011,AwcHuc12_wtd_lcld_mn_2012,AwcHuc12_wtd_lcld_mn_2013,AwcHuc12_wtd_lcld_mn_2014,AwcHuc12_wtd_lcld_mn_2015,AwcHuc12_wtd_lcld_mn_2016,AwcHuc12_wtd_lcld_mn_2017,AwcHuc12_wtd_lcld_mn_2018,AwcHuc12_wtd_lcld_mn_2019
24,Bristol_Bay_1016325,502.928044757504438,499.829908138010182,455.200931690253697,489.155468956441837,480.515728204443008,505.732859200836060,487.365368911267069,503.842416768722160,498.492529713789622,500.085427955253294,479.838970452435092,509.110689859952231,499.450316956532504,445.920482978683026,467.241988287811751,459.316149013608822,484.299586294292965,488.998053935177495,475.114986318733031
25,Bristol_Bay_1016515,478.751407762305973,489.300479809457329,426.046691930663712,478.166035066709640,453.854491071551820,498.846574559769351,472.794084644723341,480.765280588717019,488.941326600856769,489.236233874411937,456.394830862000504,495.459963102168672,486.020101055993052,409.686292731952165,421.007000949986548,420.554627373232734,470.330667534040970,468.575568267865890,443.157980876465103
26,Bristol_Bay_1016825,447.442045185299605,457.277830311149557,424.508233707295972,470.483517637012085,423.848525985406241,488.315572442544806,460.786161230943264,468.804138041026988,484.207788025371030,478.524709935169312,438.041535841539542,481.857683406550052,470.460315000543289,417.175407214719314,415.382437153591297,418.175358398700325,446.665710662373613,462.597404745508243,445.949705707672422
27,Bristol_Bay_1021823,414.523728281455760,439.730945006939749,377.317664232811751,435.920785271149100,397.519152220003491,469.266893675365679,404.566517126955262,451.643103772372740,471.052589283419422,461.638348538034222,427.926830860712300,470.240690704217911,449.288655225410309,388.958768193818969,388.537374494540529,387.878515556961872,407.436546417907266,446.907419398600496,384.707151238859240
28,Bristol_Bay_1021914,518.995708891694790,507.544596199974251,478.023022617037043,496.987463395808732,498.194213700367754,512.098561559360292,498.064095734620082,517.847663763555488,504.768824958200412,509.639741368214573,500.611017955922250,519.658372239089999,510.409433476844413,466.597371308374875,486.368015315124637,486.851702142144802,494.969409868566856,499.442644733160421,493.137714233834913
29,Bristol_Bay_1021984,432.043195520667382,442.703302239795789,390.101708671225424,440.248514337436518,399.023240392729235,465.473595599513430,436.245423305820054,453.307963163279283,468.889497153176478,460.784050383657416,443.931247444361645,478.393598691563739,461.020208702644254,390.709011695463005,401.627135317674799,393.709069688599357,439.722208436250014,439.652356900237294,401.984223267958043
30,Bristol_Bay_1022284,429.681798224227634,447.257098725635615,389.315641337211957,444.927797816162467,401.163499788974889,470.292219935100150,436.559900023348746,454.164486365810774,470.519134201987185,460.626739914396410,450.658077229880973,478.488734840866243,463.941391289146111,390.074305314509331,399.035320237462031,394.007650854894905,444.749185723704898,441.411941855897965,397.193430855246902
31,Bristol_Bay_1023034,470.377070917324090,474.223172476340892,428.022338848559741,473.262974205898956,439.669698981424176,493.313994896747715,468.725340180593378,482.945058768324373,486.384874888488184,487.567797700517190,454.180396006273952,493.589722997951242,483.615040131420130,420.700786125591208,429.547717707616528,423.152207516072508,466.598860632512356,466.257123402344462,442.155644527500840
32,Bristol_Bay_1024403,497.388058994033202,485.277020399974788,440.988782746614277,485.863666526901966,471.394702204072189,503.999008258434060,478.539797276352033,494.744805206647129,478.098711100581170,499.203261444223017,483.367484002701474,509.820839334216714,491.129881683770066,422.538730789566330,441.384894171687790,455.103901336303011,480.895611908192791,486.869093759683267,459.565857838223224
33,Bristol_Bay_1025113,507.252904339134830,489.301071414147316,455.129259470774912,492.534062168556204,475.161588966274280,511.778436234748369,486.992624293025244,501.356583704388186,486.717109909567739,505.950342949769095,493.644320334781128,516.011541539238578,502.236200629117036,440.650502743021093,455.784806538089356,465.717118150584099,489.243050559441713,496.695809362282375,474.572603739941883
