cat_ID_con,region,wtd_AreaSqKm,str_ord,str_slope,str_slope_dg,HUC12
Cook_Inlet_75004400010422,Cook_Inlet,692.9739504,4,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400001443,Cook_Inlet,66.24957497,3,0.00533966,0.305937074,1.90203E+11
Cook_Inlet_75004400001656,Cook_Inlet,30.05067496,3,0.00873278,0.500338719,1.90203E+11
Cook_Inlet_75004400002041,Cook_Inlet,83.98835029,4,0.03550915,2.033669965,1.90203E+11
Cook_Inlet_75004400011322,Cook_Inlet,55.5205501,4,0.00698105,0.399978204,1.90203E+11
Cook_Inlet_75004400007550,Cook_Inlet,322.3426248,4,0.000341,0.01953786,1.90203E+11
Cook_Inlet_75004400004850,Cook_Inlet,156.3047248,5,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400008859,Cook_Inlet,301.4794252,3,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400009331,Cook_Inlet,124.138425,5,0.02712412,1.553716641,1.90203E+11
Cook_Inlet_75004400000153,Cook_Inlet,526.5680752,4,0.00135764,0.077786994,1.90203E+11
Cook_Inlet_75004400010386,Cook_Inlet,5470.520225,6,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400009308,Cook_Inlet,67.60020002,3,0.00460022,0.263571332,1.90203E+11
Cook_Inlet_75004400003815,Cook_Inlet,45.7792499,4,0.02036872,1.166880334,1.90203E+11
Cook_Inlet_75004400007996,Cook_Inlet,282.5759751,4,0.01494484,0.856212517,1.90203E+11
Cook_Inlet_75004400010639,Cook_Inlet,68.58409993,3,0.00663838,0.38034557,1.90203E+11
Cook_Inlet_75004400001521,Cook_Inlet,118.9960249,3,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400010351,Cook_Inlet,76.91615011,4,0.0148045,0.848173406,1.90203E+11
Cook_Inlet_75004400004166,Cook_Inlet,18.18142506,4,0.07480702,4.278158079,1.90203E+11
Cook_Inlet_75004400000141,Cook_Inlet,44.21027506,3,0.02177864,1.247626927,1.90203E+11
Cook_Inlet_75004400002954,Cook_Inlet,119.950825,4,0.00061309,0.035127465,1.90203E+11
Cook_Inlet_75004400007686,Cook_Inlet,72.30734994,3,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400004707,Cook_Inlet,216.9316,4,0.00041357,0.023695814,1.90203E+11
Cook_Inlet_75004400007493,Cook_Inlet,352.5125993,4,0.05680309,3.251083685,1.90203E+11
Cook_Inlet_75004400010627,Cook_Inlet,99.89740011,4,0.00043296,0.024806779,1.90203E+11
Cook_Inlet_75004400004344,Cook_Inlet,164.2476003,3,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400004213,Cook_Inlet,60.98155004,4,0.05730575,3.279790534,1.90203E+11
Cook_Inlet_75004400007351,Cook_Inlet,96.95405017,4,0.00159442,0.091353459,1.90203E+11
Cook_Inlet_75004400002957,Cook_Inlet,108.8700499,2,0.00339865,0.194727551,1.90203E+11
Cook_Inlet_75004400000171,Cook_Inlet,110.7558249,4,0.00844465,0.483831304,1.90203E+11
Cook_Inlet_75000100004048,Cook_Inlet,446.474425,5,0.00463554,0.265594975,1.90204E+11
Cook_Inlet_75000100001396,Cook_Inlet,200.5523748,5,0.0213518,1.223182165,1.90204E+11
Cook_Inlet_75000100001872,Cook_Inlet,82.82350004,4,0.01720975,0.985948711,1.90204E+11
Cook_Inlet_75000100002482,Cook_Inlet,56.66254985,2,0.01217606,0.697602376,1.90204E+11
Cook_Inlet_75000100004383,Cook_Inlet,233.866875,4,1.00E-05,0.000572958,1.90204E+11
Cook_Inlet_75000100001880,Cook_Inlet,40.89177494,4,0.0083797,0.480110206,1.90204E+11
Cook_Inlet_75000100002463,Cook_Inlet,319.4894,5,0.00620661,0.355607992,1.90204E+11
Cook_Inlet_75000100001262,Cook_Inlet,193.0405501,4,5.80E-05,0.003324301,1.90204E+11
Cook_Inlet_75000100003972,Cook_Inlet,404.9133749,5,0.00117468,0.067304175,1.90204E+11
Cook_Inlet_75000100000252,Cook_Inlet,226.4892,4,0.01950644,1.117494964,1.90204E+11
Cook_Inlet_75000100003757,Cook_Inlet,431.3628001,4,1.00E-05,0.000572958,1.90204E+11
Cook_Inlet_75000100002688,Cook_Inlet,42.99784998,4,0.00920042,0.527130363,1.90204E+11
Cook_Inlet_75000100001892,Cook_Inlet,77.67372505,4,0.00335918,0.192466113,1.90204E+11
Cook_Inlet_75000100001538,Cook_Inlet,138.569025,5,0.00043896,0.025150554,1.90204E+11
Cook_Inlet_75000100001408,Cook_Inlet,103.3948,3,0.00089331,0.051182879,1.90204E+11
Cook_Inlet_75000100001685,Cook_Inlet,210.5855248,5,0.00459315,0.263166259,1.90204E+11
Cook_Inlet_75000100004381,Cook_Inlet,59.84240005,5,0.00276688,0.158530142,1.90204E+11
Cook_Inlet_75000100000652,Cook_Inlet,323.0502,4,0.00643582,0.368740233,1.90204E+11
Cook_Inlet_75000100003787,Cook_Inlet,53.14639995,3,0.00619412,0.354892395,1.90204E+11
Cook_Inlet_75000100002741,Cook_Inlet,79.50065001,4,0.06170385,3.530893592,1.90204E+11
Cook_Inlet_75000100003438,Cook_Inlet,154.5313001,4,0.0002029,0.011625314,1.90204E+11
Cook_Inlet_75000100001315,Cook_Inlet,603.1085499,5,1.00E-05,0.000572958,1.90204E+11
Cook_Inlet_75000100000409,Cook_Inlet,8639.27905,6,0.0006351,0.036388545,1.90204E+11
Cook_Inlet_75000100002858,Cook_Inlet,280.4617249,5,0.00242693,0.139052573,1.90204E+11
Cook_Inlet_75000100000953,Cook_Inlet,78.79094996,4,0.09032423,5.16119177,1.90204E+11
Cook_Inlet_75000100001864,Cook_Inlet,189.7065999,5,1.00E-05,0.000572958,1.90204E+11
Cook_Inlet_75000400003844,Cook_Inlet,749.3664499,6,0.00385861,0.221080971,1.90204E+11
Cook_Inlet_75000400019561,Cook_Inlet,158.3622751,5,0.028864,1.653326336,1.90204E+11
Cook_Inlet_75000400036699,Cook_Inlet,2351.92775,8,0.00619569,0.354982346,1.90204E+11
Cook_Inlet_75000400002218,Cook_Inlet,2755.338225,8,0.0069665,0.399144591,1.90204E+11
Cook_Inlet_75000400033841,Cook_Inlet,43.11644992,4,1.00E-05,0.000572958,1.90204E+11
Cook_Inlet_75000400015018,Cook_Inlet,380.0328251,4,0.00144436,0.082755675,1.90204E+11
Cook_Inlet_75000400019625,Cook_Inlet,180.90565,4,0.01740752,0.997276704,1.90204E+11
Cook_Inlet_75000400024876,Cook_Inlet,1432.629025,6,0.00019855,0.011376077,1.90204E+11
Cook_Inlet_75000400014699,Cook_Inlet,230.3016248,5,0.00118437,0.067859371,1.90204E+11
Cook_Inlet_75000400014408,Cook_Inlet,2680.222575,4,0.0013941,0.079875994,1.90204E+11
Cook_Inlet_75000400004841,Cook_Inlet,40.15147499,4,0.0160886,0.921729356,1.90204E+11
Cook_Inlet_75000400004888,Cook_Inlet,142.5611252,4,0.024638,1.41136788,1.90204E+11
Cook_Inlet_75000400009917,Cook_Inlet,228.4990498,5,0.00137222,0.078622365,1.90204E+11
Cook_Inlet_75000400034535,Cook_Inlet,876.4613999,4,0.00370697,0.212392763,1.90204E+11
Cook_Inlet_75000400000017,Cook_Inlet,8677.7005,8,1.00E-05,0.000572958,1.90204E+11
Cook_Inlet_75000400028963,Cook_Inlet,5149.8388,4,0.00400667,0.229564052,1.90204E+11
Cook_Inlet_75000400000163,Cook_Inlet,58.05585002,4,0.00139205,0.079758538,1.90204E+11
Cook_Inlet_75000400024863,Cook_Inlet,117.6505001,5,0.03763837,2.155502271,1.90204E+11
Cook_Inlet_75000400010059,Cook_Inlet,392.5389751,6,0.01281834,0.734396561,1.90204E+11
Cook_Inlet_75000400014878,Cook_Inlet,4241.73215,8,0.00213946,0.122581841,1.90204E+11
