OID_,cat_ID_txt,O1Region,AwcHuc12_wtd_glacier_area_sqm,AwcHuc12_wtd_glacier_per,region,cat_ID,cat_ID_con
242,75000600002853, 1,18239856.086395725607872,13.186575662166163,Cook_Inlet,75000600002853,Cook_Inlet_75000600002853
243,75000600003641, 1,689892817.221388459205627,39.498087797350578,Cook_Inlet,75000600003641,Cook_Inlet_75000600003641
244,75000600005142, 1,568001963.706927776336670,25.588932306964391,Cook_Inlet,75000600005142,Cook_Inlet_75000600005142
245,75000600005686, 1,79224800.974757432937622,12.498900236424786,Cook_Inlet,75000600005686,Cook_Inlet_75000600005686
246,75000600005715, 1,2447856.916153971105814,1.965493390213005,Cook_Inlet,75000600005715,Cook_Inlet_75000600005715
247,75000600009325, 1,1224295.201397986151278,0.680598922414402,Cook_Inlet,75000600009325,Cook_Inlet_75000600009325
248,75000600009410, 1,11854825.009998299181461,3.016380359664153,Cook_Inlet,75000600009410,Cook_Inlet_75000600009410
249,75000600009435, 1,456156.333107169717550,0.232111155739129,Cook_Inlet,75000600009435,Cook_Inlet_75000600009435
250,75000600009551, 1,9144513.648649882525206,4.439016954377965,Cook_Inlet,75000600009551,Cook_Inlet_75000600009551
251,75000600009692, 1,636282037.251081585884094,10.858767780846701,Cook_Inlet,75000600009692,Cook_Inlet_75000600009692
252,75000600010293, 1,172665.376765430497471,0.120978197811554,Cook_Inlet,75000600010293,Cook_Inlet_75000600010293
253,75000600011081, 1,269808.400524866185151,0.698802193540636,Cook_Inlet,75000600011081,Cook_Inlet_75000600011081
254,75000600012135, 1,1969281.715348513564095,3.702774458003828,Cook_Inlet,75000600012135,Cook_Inlet_75000600012135
255,75000600012682, 1,6948204.549409790895879,8.727735216648709,Cook_Inlet,75000600012682,Cook_Inlet_75000600012682
256,75000600012683, 1,200313870.148544192314148,7.497688184437476,Cook_Inlet,75000600012683,Cook_Inlet_75000600012683
257,75000600012751, 1,467770.414927140634973,0.674001832725681,Cook_Inlet,75000600012751,Cook_Inlet_75000600012751
258,75000600013369, 1,8239241.334773579612374,5.217797451367087,Cook_Inlet,75000600013369,Cook_Inlet_75000600013369
259,75000600014486, 1,49351757.572995528578758,4.467818487541645,Cook_Inlet,75000600014486,Cook_Inlet_75000600014486
260,75000600014656, 1,635825880.917974710464478,13.974641146118250,Cook_Inlet,75000600014656,Cook_Inlet_75000600014656
261,75000600015155, 1,1587476755.557088136672974,13.385484017579991,Cook_Inlet,75000600015155,Cook_Inlet_75000600015155
262,75000600015193, 1,9144513.648649884387851,0.852318080108920,Cook_Inlet,75000600015193,Cook_Inlet_75000600015193
