OID_,cat_ID_con,cat_ID,cat_ID_txt,NHDPlusID,region,AwcHuc12_wtd_elev_MIN,AwcHuc12_wtd_elev_MAX,AwcHuc12_wtd_elev_MEAN,AwcHuc12_wtd_elev_STD
17,Cook_Inlet_75004200014411,75004200014411.000000000000000,75004200014411,75004200014411.000000000000000,Cook_Inlet,0,974,319.379171683399647,212.168896825187829
18,Cook_Inlet_75004200012680,75004200012680.000000000000000,75004200012680,75004200012680.000000000000000,Cook_Inlet,0,1456,454.792832387100702,354.661632961837427
19,Cook_Inlet_75004200000559,75004200000559.000000000000000,75004200000559,75004200000559.000000000000000,Cook_Inlet,2,746,356.842448569994417,161.191194184112106
20,Cook_Inlet_75004200007843,75004200007843.000000000000000,75004200007843,75004200007843.000000000000000,Cook_Inlet,2,721,271.579904387912563,168.924263112337911
21,Cook_Inlet_75004200009093,75004200009093.000000000000000,75004200009093,75004200009093.000000000000000,Cook_Inlet,3,962,325.159297585450872,220.171061503136599
22,Cook_Inlet_75004200008970,75004200008970.000000000000000,75004200008970,75004200008970.000000000000000,Cook_Inlet,0,1340,431.190539716937451,233.956228673120449
23,Cook_Inlet_75004200005429,75004200005429.000000000000000,75004200005429,75004200005429.000000000000000,Cook_Inlet,156,1662,972.585811826731288,313.265996880287616
24,Cook_Inlet_75004200012771,75004200012771.000000000000000,75004200012771,75004200012771.000000000000000,Cook_Inlet,0,1081,380.689432591764671,239.737139980021084
25,Cook_Inlet_75004200012099,75004200012099.000000000000000,75004200012099,75004200012099.000000000000000,Cook_Inlet,0,1862,902.555943923272480,460.476063872190650
26,Cook_Inlet_75004200001003,75004200001003.000000000000000,75004200001003,75004200001003.000000000000000,Cook_Inlet,0,746,208.854921967583664,197.230626224454909
27,Cook_Inlet_75004200000848,75004200000848.000000000000000,75004200000848,75004200000848.000000000000000,Cook_Inlet,1,1338,605.387459760169691,335.303727789720085
28,Cook_Inlet_75004200011012,75004200011012.000000000000000,75004200011012,75004200011012.000000000000000,Cook_Inlet,0,1640,697.391307288361645,412.920971464871684
29,Cook_Inlet_75004200006975,75004200006975.000000000000000,75004200006975,75004200006975.000000000000000,Cook_Inlet,0,955,348.840473370352186,202.503882426887856
30,Cook_Inlet_75004200005415,75004200005415.000000000000000,75004200005415,75004200005415.000000000000000,Cook_Inlet,110,1720,827.042580841334825,282.338306229484090
31,Cook_Inlet_75004200000064,75004200000064.000000000000000,75004200000064,75004200000064.000000000000000,Cook_Inlet,0,1721,472.130839034237169,353.676016772792025
32,Cook_Inlet_75004200001191,75004200001191.000000000000000,75004200001191,75004200001191.000000000000000,Cook_Inlet,1,767,217.464172758309246,162.273814845108916
33,Cook_Inlet_75004200001574,75004200001574.000000000000000,75004200001574,75004200001574.000000000000000,Cook_Inlet,6,657,342.914191143746621,146.130768106503524
34,Cook_Inlet_75004200003989,75004200003989.000000000000000,75004200003989,75004200003989.000000000000000,Cook_Inlet,22,1720,745.586208928588690,374.521560333678167
35,Cook_Inlet_75004200002199,75004200002199.000000000000000,75004200002199,75004200002199.000000000000000,Cook_Inlet,0,1721,455.908022504602968,355.935077028126329
36,Cook_Inlet_75004200005203,75004200005203.000000000000000,75004200005203,75004200005203.000000000000000,Cook_Inlet,2,1766,852.852164809100373,339.052403124248372
37,Cook_Inlet_75004200001716,75004200001716.000000000000000,75004200001716,75004200001716.000000000000000,Cook_Inlet,0,1782,765.401308283808248,448.274048833162112
38,Cook_Inlet_75004200008853,75004200008853.000000000000000,75004200008853,75004200008853.000000000000000,Cook_Inlet,1,1308,613.790095539120102,268.120536489448966
39,Cook_Inlet_75004200008845,75004200008845.000000000000000,75004200008845,75004200008845.000000000000000,Cook_Inlet,2,1143,479.489426631978461,289.050903611431579
