cat_ID_con,NhdAwcH12_wtd_lcld_mn_2001_x,NhdAwcH12_wtd_lcld_mn_2002_x,NhdAwcH12_wtd_lcld_mn_2003_x,NhdAwcH12_wtd_lcld_mn_2004_x,NhdAwcH12_wtd_lcld_mn_2005_x,NhdAwcH12_wtd_lcld_mn_2006_x,NhdAwcH12_wtd_lcld_mn_2007_x,NhdAwcH12_wtd_lcld_mn_2008_x,NhdAwcH12_wtd_lcld_mn_2009_x,NhdAwcH12_wtd_lcld_mn_2010_x,NhdAwcH12_wtd_lcld_mn_2011_x,NhdAwcH12_wtd_lcld_mn_2012_x,NhdAwcH12_wtd_lcld_mn_2013_x,NhdAwcH12_wtd_lcld_mn_2014_x,NhdAwcH12_wtd_lcld_mn_2015_x,NhdAwcH12_wtd_lcld_mn_2016_x,NhdAwcH12_wtd_lcld_mn_2017_x,NhdAwcH12_wtd_lcld_mn_2018_x,NhdAwcH12_wtd_lcld_mn_2019_x,NhdAwcH12_wtd_lcld_mn_2001_y,NhdAwcH12_wtd_lcld_mn_2002_y,NhdAwcH12_wtd_lcld_mn_2003_y,NhdAwcH12_wtd_lcld_mn_2004_y,NhdAwcH12_wtd_lcld_mn_2005_y,NhdAwcH12_wtd_lcld_mn_2006_y,NhdAwcH12_wtd_lcld_mn_2007_y,NhdAwcH12_wtd_lcld_mn_2008_y,NhdAwcH12_wtd_lcld_mn_2009_y,NhdAwcH12_wtd_lcld_mn_2010_y,NhdAwcH12_wtd_lcld_mn_2011_y,NhdAwcH12_wtd_lcld_mn_2012_y,NhdAwcH12_wtd_lcld_mn_2013_y,NhdAwcH12_wtd_lcld_mn_2014_y,NhdAwcH12_wtd_lcld_mn_2015_y,NhdAwcH12_wtd_lcld_mn_2016_y,NhdAwcH12_wtd_lcld_mn_2017_y,NhdAwcH12_wtd_lcld_mn_2018_y,NhdAwcH12_wtd_lcld_mn_2019_y
Copper_River_75019800000492,,,,,,,,,,,,,,,,,,,,492.783404205139,491.33905265081063,484.3537882621827,483.8017950703444,482.34186260741285,496.35234982204605,486.9758906816164,488.449888579636,490.37584651542517,481.4560657217835,495.76920510138996,490.9508313881605,512.8428568546562,485.4867578938624,489.840671339312,471.4118260724055,479.481232819284,495.9897754691393,484.3322474792778
Copper_River_75019800017508,,,,,,,,,,,,,,,,,,,,508.6939548316165,506.61090109835334,501.011384578328,493.5972575377706,492.7423240742391,501.7028732385194,489.96338678763806,501.1300491088819,499.78178803133306,491.2417384508652,499.1320341063496,508.08188589326284,511.68073478119936,492.54087978472245,492.4173863584572,480.78488414404154,490.2963531471642,512.0061925365276,476.12469571989215
Copper_River_75019800003840,,,,,,,,,,,,,,,,,,,,512.0179608355547,504.6746179489673,504.5105453048232,499.32119752923745,500.2586962767366,510.87778264072494,503.29311575646256,504.1862662474349,506.21403437949186,496.52731111450265,508.4338017479548,509.7275861259094,523.7858672620633,504.25950438785316,503.6261425036711,494.23273140087264,494.94077704484346,513.6715386388532,498.7400621005886
Copper_River_75019800011423,,,,,,,,,,,,,,,,,,,,516.7597309379149,510.0038923536176,510.71915751960364,497.7779518204562,495.247275824482,509.39862161070243,499.6020427295453,507.47511940623286,507.3137856926508,502.9305874208552,510.2481285683267,513.9955969328389,514.548652069118,498.2311701957727,500.2545365417949,496.7994255745299,498.6625607834313,514.8192159502228,492.1989380461362
Copper_River_75019800016364,,,,,,,,,,,,,,,,,,,,509.98210260126706,508.03528149863,506.2746013065739,497.9073166825071,501.76365997138487,508.71973170928607,495.17120722762866,505.43210081922,505.97400673505757,498.42460548498804,506.7455452046543,509.5115810305482,521.6351263830061,501.9054007622759,500.0582500781025,491.9927723700733,493.0152881764526,514.7886328842519,491.08688203934264
Copper_River_75019800020900,,,,,,,,,,,,,,,,,,,,490.8748519588223,497.94731851805295,490.1906413036336,483.36390165274605,481.7776471356098,497.1271496550708,485.7023940466728,496.8791740470839,496.6600760204486,488.8186066987374,492.3996118464122,493.27345365184584,515.1538845876163,488.2844006441055,488.2841364783823,467.99630478568696,484.3821588020039,503.4165479523589,467.5546373802999
Copper_River_75019800011406,,,,,,,,,,,,,,,,,,,,485.74335152595904,493.83800337018255,486.59216608871884,480.0010213036202,478.79397293358153,494.9197820385584,481.7556340457951,493.06267141525166,493.3982671590251,485.35519864793343,488.56925176071843,489.10373044585026,512.5578524122475,484.90639321064276,485.384067038513,465.4644493835935,479.3210481050279,500.2704379479969,465.31762980055794
Copper_River_75019800012527,,,,,,,,,,,,,,,,,,,,480.54165710847633,487.1331826871625,477.1630290846172,476.33511066218193,474.5254165134757,489.2837290715961,471.9917570942302,482.8972741243758,484.12196516373706,478.4210541073734,486.5165950032272,480.15816084112413,506.793269675582,479.67995644937014,482.8048486429245,462.35409813466697,475.50120949041064,487.12446775554065,465.0480407715055
Copper_River_75019800007832,,,,,,,,,,,,,,,,,,,,507.60968082027415,506.6795470640148,504.30795765625896,496.26899353440933,499.5838071729192,507.2620888361856,493.83345556941254,504.0937409474634,504.63930987467626,497.1074963534094,505.092219352495,507.3563832256887,520.7084148513662,500.3107077265129,498.66554134574454,489.455162061002,491.80844593280455,513.1945671982932,488.5823042059632
Copper_River_75019800001032,,,,,,,,,,,,,,,,,,,,506.4100488471901,505.8500338033974,503.1360192340735,495.4239931450794,498.5057251095477,506.4774432745099,492.9016010017711,503.1697234699828,503.7476464357653,496.3138372529353,504.2955066886482,506.16469333964363,520.0996563777651,499.4177595099273,497.973637104331,488.2902675334113,491.1180510734939,512.033253169794,487.5620751895633
