OID_,cat_ID_txt,wtd_slope_ZONE_CODE,wtd_slope_COUNT,wtd_slope_AREA,wtd_slope_MIN,wtd_slope_MAX,wtd_slope_RANGE,wtd_slope_MEAN,wtd_slope_STD,wtd_slope_SUM,wtd_slope_MEDIAN,wtd_slope_PCT90,region,cat_ID_con
116,75000200003070,116,179917.000000000000000,17991700.000000000000000,0.000001958514304,27.680757522583008,27.680755564068704,1.689851360018525,2.754447490777407,304032.987140452896710,0.000003676085271,3.630847311019897,Cook_Inlet,Cook_Inlet_75000200003070
117,75000200006065,117,3814212.000000000000000,381421200.000000000000000,0.000002044440407,66.636100769042969,66.636098724602562,8.759266882777741,8.543038571847680,33409700.855493452399969,6.108014822006226,20.241838264465333,Cook_Inlet,Cook_Inlet_75000200006065
118,75000200010532,118,3045703.000000000000000,304570300.000000000000000,0.000001415371003,47.957199096679688,47.957197681308685,4.389055700271661,5.046812752042514,13367760.113484498113394,3.007162094116211,10.817552566528320,Cook_Inlet,Cook_Inlet_75000200010532
119,75000200005573,119,3766529.000000000000000,376652900.000000000000000,0.000001864709475,46.071571350097656,46.071569485388181,2.813005768116887,3.752400817639063,10595267.802779531106353,2.419322013854980,6.215131282806396,Cook_Inlet,Cook_Inlet_75000200005573
120,75000200005575,120,3946604.000000000000000,394660400.000000000000000,0.000001864709475,46.071571350097656,46.071569485388181,2.761840747447575,3.720229038221705,10899891.741239590570331,2.418540716171265,6.189078807830811,Cook_Inlet,Cook_Inlet_75000200005575
121,75000200018331,121,16438607.000000000000000,1643860700.000000000000000,0.000000064215001,47.957199096679688,47.957199032464686,2.598306801259875,3.679569029989652,42712544.371338188648224,1.917049527168274,6.188779354095459,Cook_Inlet,Cook_Inlet_75000200018331
122,75000200005504,122,11895267.000000000000000,1189526700.000000000000000,0.000000236859762,47.957199096679688,47.957198859819925,2.991315392719312,3.981395410932989,35582495.277606070041656,2.419025182723999,7.030893325805664,Cook_Inlet,Cook_Inlet_75000200005504
123,75000200003013,123,9098580.000000000000000,909858000.000000000000000,0.000000236859762,47.957199096679688,47.957198859819925,3.068998600583932,4.189017433461295,27923529.287300955504179,2.419051408767700,7.557426452636719,Cook_Inlet,Cook_Inlet_75000200003013
124,75000200015680,124,3508325.000000000000000,350832500.000000000000000,0.000001316917405,47.957199096679688,47.957197779762282,4.152922264308319,4.903264388623418,14569801.002929482609034,2.871151924133301,10.203643035888671,Cook_Inlet,Cook_Inlet_75000200015680
125,75000200000416,125,2499552.000000000000000,249955200.000000000000000,0.000001462897444,47.957199096679688,47.957197633782243,5.030474611425286,5.272396070135412,12573932.875937297940254,3.369704246520996,11.876972866058349,Cook_Inlet,Cook_Inlet_75000200000416
