OBJECTID,SiteID,cat_ID_con,area_diff,lat,lon,site_max_acc,site_acc_sqKm,Area_km2,str_slope,str_slope_dg,str_ord,dist_coast_km,ds_dist_outlet
,PGCT1,Cook_Inlet_75000200007958,0.006000004749922,62.325930059999997,-150.519386550000007,137905,3.447625000000000,3.453625004749922,0.009556630000000,0.547537897045550,2,104.128803891782894,184.829647130000012
,PGCT2,Cook_Inlet_75000200002806,0.875025001250018,62.324252819999998,-150.537357359999987,29152,0.728800000000000,1.603825001250018,0.012950950000000,0.741993293411026,2,104.398047179139823,182.571525350000002
,PKC1,Cook_Inlet_75000200015505,0.082324838500455,62.347878240000000,-150.623351990000003,2376146,59.403649999999999,59.485974838500454,0.003382370000000,0.193794786722227,3,108.848473483247389,195.261628519999988
,PKCT1,Cook_Inlet_75000200007870,2.480899970250006,62.340747129999997,-150.605222480000009,58974,1.474350000000000,3.955249970250005,0.003468660000000,0.198738781519752,1,107.699368440650844,190.157705179999994
,PKCT2,Cook_Inlet_75000200000011,0.000024986750023,62.346427249999998,-150.649510440000000,251665,6.291625000000000,6.291649986750023,0.010166810000000,0.582495234980444,1,109.363796339020894,191.000662070000004
,PMC1,Cook_Inlet_75000200013189,0.056550009500199,62.317258729999999,-150.438005970000006,3806469,95.161725000000004,95.218275009500204,0.002793490000000,0.160054770779124,4,101.376207740189059,184.706239649999986
,PMC2,Cook_Inlet_75000200013185,0.397925073999943,62.315579970000002,-150.448172550000010,5586168,139.654200000000003,140.052125073999946,0.003391270000000,0.194304713310752,5,101.436966553595838,182.895708909999996
,PMCT1,Cook_Inlet_75000200018235,0.140974987249992,62.319678910000000,-150.463179789999998,108904,2.722600000000000,2.863574987249992,0.008361180000000,0.479049162621808,2,102.189416330358085,181.007246449999997
,PNC1,Cook_Inlet_75000200007646,0.931675042499906,62.312394959999999,-150.347398349999992,365461,9.136525000000001,10.068200042499907,0.002789200000000,0.159808973800166,2,98.940023413388204,175.809967340000014
,PNCT1,Cook_Inlet_75000200005606,0.048274990999946,62.309794310000001,-150.368349010000003,331476,8.286899999999999,8.335174990999946,0.004429970000000,0.253816924023496,2,99.108371259356446,177.286620650000003
,PNCT2,Cook_Inlet_75000200002554,0.047674997249910,62.310556830000003,-150.374101080000003,92203,2.305075000000000,2.352749997249910,0.005113070000000,0.292954778419819,2,99.307132067550128,177.286620650000003
,PNCT4,Cook_Inlet_75000200013258,0.670299993250097,62.311722070000002,-150.391966969999999,46301,1.157525000000000,1.827824993250097,0.005661630000000,0.324384038253090,1,99.806171136385728,173.988113499999997
,PSM1,Cook_Inlet_75000200005075,0.250674995000004,62.337042230000002,-150.573863480000000,287703,7.192575000000000,7.443249995000004,0.007200370000000,0.412543682543647,2,106.550979433511046,193.589385090000007
,PSM2,Cook_Inlet_75000200010391,1.924900000500054,62.333366880000000,-150.565792549999998,454568,11.364200000000000,13.289100000500055,0.004824770000000,0.276436813131901,2,105.991171391121227,191.234814989999990
,PSMT1,Cook_Inlet_75000200013033,0.066150026499905,62.336438989999998,-150.564539870000004,74224,1.855600000000000,1.921750026499905,0.008751170000000,0.501392307691130,1,106.261189903514463,193.589385090000007
,PTC1,Cook_Inlet_75000200000010,2.932999993999864,62.354130560000002,-150.663480579999998,223701,5.592525000000000,8.525524993999865,0.012821920000000,0.734601646449126,2,110.466970543137535,192.333042479999989
,PWMC1,Cook_Inlet_75000200015695,0.307575060249789,62.319571949999997,-150.443366370000007,1737196,43.429900000000004,43.737475060249793,0.006380670000000,0.365580500232769,4,101.728937594117326,184.706239649999986
,BM1,Cook_Inlet_75004400008917,0.002825055719313,60.560478949999997,-151.125568820000012,5062401,126.560024999999996,126.562850055719309,0.001813920000000,0.103929846387479,3,3.553976919105380,6.283577750000000
,BM10,Cook_Inlet_75004400009260,1.782274939184020,60.450149619999998,-149.987549099999995,5681182,142.029550000000000,143.811824939184021,0.000010000000000,0.000572957795112,4,47.642586115098730,111.149221220000001
,BM11,Cook_Inlet_75004400004829,0.003124951493831,60.426021710000001,-149.995695009999991,5021972,125.549300000000002,125.552424951493833,0.000010000000000,0.000572957795112,4,45.912587174463816,114.253485780000005
