OID_,cat_ID_txt,cat_elev_ZONE_CODE,cat_elev_COUNT,cat_elev_AREA,cat_elev_MIN,cat_elev_MAX,cat_elev_RANGE,cat_elev_MEAN,cat_elev_STD,cat_elev_SUM,cat_elev_VARIETY,cat_elev_MAJORITY,cat_elev_MINORITY,cat_elev_MEDIAN,cat_elev_PCT90,region,cat_ID_con
48,75004400006041,48,17557.000000000000000,1755700.000000000000000,43,73,30,56.148259953294655,7.947889027057450,985795.000000000000000,31,45,73,57,66,Cook_Inlet,Cook_Inlet_75004400006041
49,75004400010402,49,59427.000000000000000,5942700.000000000000000,23,63,40,33.447809918050339,6.160895543239508,1987703.000000000000000,41,38,63,35,39,Cook_Inlet,Cook_Inlet_75004400010402
50,75004400008856,50,78678.000000000000000,7867800.000000000000000,126,951,825,338.735542337121331,177.375186873600967,26651035.000000000000000,820,126,951,279,627,Cook_Inlet,Cook_Inlet_75004400008856
51,75004400010754,51,766.000000000000000,76600.000000000000000,98,108,10,101.907310704960807,2.468183722455987,78061.000000000000000,11,99,98,102,105,Cook_Inlet,Cook_Inlet_75004400010754
52,75004400010810,52,2683.000000000000000,268300.000000000000000,205,320,115,220.872903466268752,20.240905248491714,592602.000000000000000,107,208,255,212,242,Cook_Inlet,Cook_Inlet_75004400010810
53,75004400002950,53,25133.000000000000000,2513300.000000000000000,125,396,271,285.310627461903323,76.353880641280142,7170712.000000000000000,272,347,395,321,357,Cook_Inlet,Cook_Inlet_75004400002950
54,75004400009144,54,61397.000000000000000,6139700.000000000000000,56,437,381,158.008388031987835,102.891213738534134,9701241.000000000000000,382,62,437,116,312,Cook_Inlet,Cook_Inlet_75004400009144
55,75004400006357,55,28837.000000000000000,2883700.000000000000000,280,1389,1109,565.638138502618858,240.301244499834979,16311307.000000000000000,1109,387,986,474,943,Cook_Inlet,Cook_Inlet_75004400006357
56,75004400007385,56,115775.000000000000000,11577500.000000000000000,18,109,91,58.005096091556872,14.767930551618342,6715540.000000000000000,92,64,102,61,75,Cook_Inlet,Cook_Inlet_75004400007385
57,75004400007948,57,8585.000000000000000,858500.000000000000000,147,288,141,185.326849155503339,42.383045232181367,1591031.000000000000000,142,153,288,159,258,Cook_Inlet,Cook_Inlet_75004400007948
58,75004400009261,58,4167.000000000000000,416700.000000000000000,135,339,204,191.549076073913909,37.128047241875443,798185.000000000000000,200,158,135,184,239,Cook_Inlet,Cook_Inlet_75004400009261
59,75004400001510,59,7150.000000000000000,715000.000000000000000,19,31,12,25.146713286713251,2.764892232557295,179799.000000000000000,13,25,19,25,29,Cook_Inlet,Cook_Inlet_75004400001510
