OID_,AwcHuc12_non_wetland_area,AwcHuc12_wetland_area,region,AwcHuc12_wtd_wet_per,cat_ID_txt,cat_ID_con
29,19185200.000000000000000,317500.000000000000000,Cook_Inlet,1.6279798,75004200006975,Cook_Inlet_75004200006975
30,55135900.000000000000000,114300.000000000000000,Cook_Inlet,0.2068771,75004200005415,Cook_Inlet_75004200005415
31,95412600.000000000000000,1750300.000000000000000,Cook_Inlet,1.8014077,75004200000064,Cook_Inlet_75004200000064
32,18556900.000000000000000,540300.000000000000000,Cook_Inlet,2.8292105,75004200001191,Cook_Inlet_75004200001191
33,3595200.000000000000000,0.000000000000000,Cook_Inlet,0.0000000,75004200001574,Cook_Inlet_75004200001574
34,398428300.000000000000000,5447500.000000000000000,Cook_Inlet,1.3488058,75004200003989,Cook_Inlet_75004200003989
35,98665300.000000000000000,2505100.000000000000000,Cook_Inlet,2.4761195,75004200002199,Cook_Inlet_75004200002199
36,64565100.000000000000000,98800.000000000000000,Cook_Inlet,0.1527900,75004200005203,Cook_Inlet_75004200005203
37,293932400.000000000000000,1370500.000000000000000,Cook_Inlet,0.4640997,75004200001716,Cook_Inlet_75004200001716
38,58551700.000000000000000,42100.000000000000000,Cook_Inlet,0.0718506,75004200008853,Cook_Inlet_75004200008853
39,15223500.000000000000000,112200.000000000000000,Cook_Inlet,0.7316262,75004200008845,Cook_Inlet_75004200008845
40,4807000.000000000000000,14500.000000000000000,Cook_Inlet,0.3007363,75004200005283,Cook_Inlet_75004200005283
41,1048500.000000000000000,6000.000000000000000,Cook_Inlet,0.5689901,75004200005907,Cook_Inlet_75004200005907
42,259180700.000000000000000,70945200.000000000000000,Cook_Inlet,21.4903469,75004300004332,Cook_Inlet_75004300004332
43,65199300.000000000000000,209200.000000000000000,Cook_Inlet,0.3198361,75004300005723,Cook_Inlet_75004300005723
44,465403300.000000000000000,36336800.000000000000000,Cook_Inlet,7.2421560,75004300006970,Cook_Inlet_75004300006970
45,44696800.000000000000000,1271600.000000000000000,Cook_Inlet,2.7662482,75004300002057,Cook_Inlet_75004300002057
46,71098600.000000000000000,2389100.000000000000000,Cook_Inlet,3.2510202,75004300005518,Cook_Inlet_75004300005518
47,122141900.000000000000000,32520500.000000000000000,Cook_Inlet,21.0267658,75004300004701,Cook_Inlet_75004300004701
48,81138000.000000000000000,12023500.000000000000000,Cook_Inlet,12.9060822,75004300004365,Cook_Inlet_75004300004365
49,70907600.000000000000000,378500.000000000000000,Cook_Inlet,0.5309591,75004300006839,Cook_Inlet_75004300006839
50,85842800.000000000000000,1225600.000000000000000,Cook_Inlet,1.4076289,75004300007978,Cook_Inlet_75004300007978
51,25929800.000000000000000,1058800.000000000000000,Cook_Inlet,3.9231379,75004300007859,Cook_Inlet_75004300007859
52,224274600.000000000000000,6144900.000000000000000,Cook_Inlet,2.6668315,75004300005004,Cook_Inlet_75004300005004
53,56282600.000000000000000,697900.000000000000000,Cook_Inlet,1.2248050,75004300005103,Cook_Inlet_75004300005103
54,49183100.000000000000000,2628000.000000000000000,Cook_Inlet,5.0722723,75004300000311,Cook_Inlet_75004300000311
55,58734800.000000000000000,679200.000000000000000,Cook_Inlet,1.1431649,75004300008012,Cook_Inlet_75004300008012
56,57247300.000000000000000,239000.000000000000000,Cook_Inlet,0.4157512,75004300001135,Cook_Inlet_75004300001135
57,99807900.000000000000000,37086500.000000000000000,Cook_Inlet,27.0913200,75004300007259,Cook_Inlet_75004300007259
58,145885600.000000000000000,37159700.000000000000000,Cook_Inlet,20.3008213,75004300001162,Cook_Inlet_75004300001162
59,42038600.000000000000000,7279000.000000000000000,Cook_Inlet,14.7594366,75004300002654,Cook_Inlet_75004300002654
60,65022100.000000000000000,1896600.000000000000000,Cook_Inlet,2.8341854,75004300006302,Cook_Inlet_75004300006302
61,29003900.000000000000000,10200.000000000000000,Cook_Inlet,0.0351553,75004300002547,Cook_Inlet_75004300002547
62,38514100.000000000000000,53100.000000000000000,Cook_Inlet,0.1376818,75004300006726,Cook_Inlet_75004300006726
63,143315600.000000000000000,11277700.000000000000000,Cook_Inlet,7.2950768,75004300003713,Cook_Inlet_75004300003713
64,2037387700.000000000000000,142050100.000000000000000,Cook_Inlet,6.5177407,75004300002688,Cook_Inlet_75004300002688
65,42760100.000000000000000,14970100.000000000000000,Cook_Inlet,25.9311409,75004300000754,Cook_Inlet_75004300000754
66,45462400.000000000000000,9172000.000000000000000,Cook_Inlet,16.7879581,75004300003311,Cook_Inlet_75004300003311
67,1752422000.000000000000000,62742500.000000000000000,Cook_Inlet,3.4565737,75004300002834,Cook_Inlet_75004300002834
68,524463600.000000000000000,48774100.000000000000000,Cook_Inlet,8.5085297,75004300001258,Cook_Inlet_75004300001258
69,69460600.000000000000000,70400.000000000000000,Cook_Inlet,0.1012498,75004300007331,Cook_Inlet_75004300007331
70,6361100.000000000000000,793100.000000000000000,Cook_Inlet,11.0857954,75004300001638,Cook_Inlet_75004300001638
71,95969500.000000000000000,1928300.000000000000000,Cook_Inlet,1.9697071,75004300002755,Cook_Inlet_75004300002755
72,34508500.000000000000000,2442000.000000000000000,Cook_Inlet,6.6088414,75004300005625,Cook_Inlet_75004300005625
73,252127000.000000000000000,1649700.000000000000000,Cook_Inlet,0.6500597,75004300006594,Cook_Inlet_75004300006594
74,40392000.000000000000000,1237100.000000000000000,Cook_Inlet,2.9717193,75004300006376,Cook_Inlet_75004300006376
75,194374700.000000000000000,512800.000000000000000,Cook_Inlet,0.2631262,75004300004090,Cook_Inlet_75004300004090
76,35673200.000000000000000,1073300.000000000000000,Cook_Inlet,2.9208224,75004300002183,Cook_Inlet_75004300002183
77,13666500.000000000000000,31100.000000000000000,Cook_Inlet,0.2270471,75004300006207,Cook_Inlet_75004300006207
