OID_,cat_ID_txt,wtd_elev_ZONE_CODE,wtd_elev_COUNT,wtd_elev_AREA,wtd_elev_MIN,wtd_elev_MAX,wtd_elev_RANGE,wtd_elev_MEAN,wtd_elev_STD,wtd_elev_SUM,wtd_elev_VARIETY,wtd_elev_MAJORITY,wtd_elev_MINORITY,wtd_elev_MEDIAN,wtd_elev_PCT90,region
239,75005400001203.0,239,11297849.000000000000000,282446225.000000000000000,700,149228,148528,43468.594686918710067,27576.311137080254412,491101619015.000000000000000,134523,28200,703,39608,83607,Cook_Inlet
240,75005400029139.0,240,1178944.000000000000000,29473600.000000000000000,300,105515,105215,33263.342210486669501,27582.625151880853082,39215617719.000000000000000,96142,1400,300,31700,72616,Cook_Inlet
241,75005400013272.0,241,433662.000000000000000,10841550.000000000000000,3900,91900,88000,24582.187076571033685,20200.854468465953687,10660360412.000000000000000,70456,4200,3902,17834,55778,Cook_Inlet
242,75019800000406.0,1,294229.000000000000000,7355725.000000000000000,66017,72493,6476,69062.474688083035289,1480.283168672113334,20320182865.000000000000000,6474,70062,66220,69057,71091,Copper_River
243,75019800010313.0,2,22480838.000000000000000,562020950.000000000000000,72462,280991,208529,122419.946020387709723,37416.269829811419186,2752102974453.000000000000000,193923,88700,72462,107361,177836,Copper_River
244,75019800014348.0,3,1407279.000000000000000,35181975.000000000000000,87591,214968,127377,125516.809355501056416,29671.706613324782666,176637169953.000000000000000,119311,100430,87591,119277,168256,Copper_River
245,75019800001957.0,4,510024.000000000000000,12750600.000000000000000,94701,210355,115654,130013.719872006506193,23913.754678810033511,66310117464.000000000000000,95804,115170,94702,124004,162881,Copper_River
246,75019800019692.0,5,64929171.000000000000000,1623229275.000000000000000,43020,300815,257795,94428.810379076443496,33348.533950472534343,6131184376430.000000000000000,244314,67250,43054,85363,134056,Copper_River
247,75019600118138.0,6,182050221.000000000000000,4551255525.000000000000000,56490,190273,133783,83947.481163545104209,18081.030723696381756,15282657498217.000000000000000,131233,64350,56493,80178,108814,Copper_River
248,75019700004190.0,7,14818860.000000000000000,370471500.000000000000000,41081,311766,270685,124027.272991708727204,47500.917413947900059,1837942794646.000000000000000,257989,46972,41081,115904,188821,Copper_River
249,75019700004084.0,8,1341865.000000000000000,33546625.000000000000000,38626,196168,157542,83492.018334184904234,41306.288336291130690,112035017182.000000000000000,149182,44634,38626,68309,146540,Copper_River
250,75019700017692.0,9,28016983.000000000000000,700424575.000000000000000,39827,495893,456066,172431.283973519981373,82352.920878191856900,4831004351754.000000000000000,433929,40850,39867,156452,298359,Copper_River
251,75019700001794.0,10,5670592.000000000000000,141764800.000000000000000,37691,205383,167692,110477.393321188123082,32431.829243677977502,626472222748.000000000000000,164550,90865,37691,102520,158042,Copper_River
252,75019700003889.0,11,1129262.000000000000000,28231550.000000000000000,41114,196292,155178,60674.960505178874882,23922.410965686533018,68517927250.000000000000000,105656,42981,41114,50680,91248,Copper_River
