OID_,cat_ID_txt,wtd_elev_ZONE_CODE,wtd_elev_COUNT,wtd_elev_AREA,wtd_elev_MIN,wtd_elev_MAX,wtd_elev_RANGE,wtd_elev_MEAN,wtd_elev_STD,wtd_elev_SUM,wtd_elev_VARIETY,wtd_elev_MAJORITY,wtd_elev_MINORITY,wtd_elev_MEDIAN,wtd_elev_PCT90,region
421,40285.0,10,129112.000000000000000,12911200.000000000000000,16,3324,3308,358.192189726745710,575.363261943677003,46246910.000000000000000,1721,16,873,227,590,Prince_William_Sound
422,41515.0,11,58464.000000000000000,5846400.000000000000000,2,3324,3322,386.991242474001410,816.415440308418852,22625056.000000000000000,1107,173,2478,146,271,Prince_William_Sound
423,42563.0,12,127965.000000000000000,12796500.000000000000000,8,3324,3316,541.122072441680757,557.328092296128716,69244686.000000000000000,1929,32,8,460,793,Prince_William_Sound
424,43055.0,13,158122.000000000000000,15812200.000000000000000,26,3324,3298,349.467392266731167,512.610907563482556,55258483.000000000000000,1701,109,816,224,538,Prince_William_Sound
425,43185.0,14,244866.000000000000000,24486600.000000000000000,348,3324,2976,1161.463183945489391,389.606972489601389,284402844.000000000000000,2190,1359,1663,1204,1457,Prince_William_Sound
426,43933.0,15,328912.000000000000000,32891200.000000000000000,0,3324,3324,659.880676290325482,420.186858134959266,217042673.000000000000000,2275,200,1355,654,1030,Prince_William_Sound
427,43973.0,16,172326.000000000000000,17232600.000000000000000,1,3324,3323,487.626051785567142,501.765750279352119,84030647.000000000000000,2021,254,1164,394,794,Prince_William_Sound
428,44553.0,17,508260.000000000000000,50826000.000000000000000,0,3324,3324,617.575774210050895,428.767987639551450,313889063.000000000000000,2515,45,1493,592,1093,Prince_William_Sound
429,44623.0,18,354677.000000000000000,35467700.000000000000000,0,3324,3324,451.244662044616234,473.359604981883592,160046103.000000000000000,2099,19,1248,376,960,Prince_William_Sound
430,46055.0,19,32971.000000000000000,3297100.000000000000000,2,3324,3322,542.060811015740910,1061.323985928896718,17872287.000000000000000,977,115,148,95,2903,Prince_William_Sound
