OID_,non_north_area,north_area,region,wtd_north_per,cat_ID_txt,cat_ID_con
97,1882084700.000000000000000,499693100.000000000000000,Cook_Inlet,20.9798374,75000700032122,Cook_Inlet_75000700032122
98,290942600.000000000000000,116150400.000000000000000,Cook_Inlet,28.5316620,75000500009621,Cook_Inlet_75000500009621
99,74470700.000000000000000,25284200.000000000000000,Cook_Inlet,25.3463230,75000500011984,Cook_Inlet_75000500011984
100,78753500.000000000000000,47288400.000000000000000,Cook_Inlet,37.5180016,75000500009975,Cook_Inlet_75000500009975
101,5127027200.000000000000000,1401598000.000000000000000,Cook_Inlet,21.4685020,75000500010609,Cook_Inlet_75000500010609
102,3808382400.000000000000000,1403879900.000000000000000,Cook_Inlet,26.9341755,75000300025361,Cook_Inlet_75000300025361
103,12426651300.000000000000000,3368136500.000000000000000,Cook_Inlet,21.3243542,75000600010189,Cook_Inlet_75000600010189
104,144830800.000000000000000,25050500.000000000000000,Cook_Inlet,14.7458839,75000600030148,Cook_Inlet_75000600030148
105,312830800.000000000000000,46380500.000000000000000,Cook_Inlet,12.9117594,75000200008033,Cook_Inlet_75000200008033
106,327590800.000000000000000,47925800.000000000000000,Cook_Inlet,12.7626314,75000200002920,Cook_Inlet_75000200002920
107,267036700.000000000000000,41319900.000000000000000,Cook_Inlet,13.4000378,75000200000411,Cook_Inlet_75000200000411
108,317272000.000000000000000,82400000.000000000000000,Cook_Inlet,20.6169052,75000200008551,Cook_Inlet_75000200008551
109,48663600.000000000000000,13853300.000000000000000,Cook_Inlet,22.1592884,75000200007305,Cook_Inlet_75000200007305
110,48193500.000000000000000,3057200.000000000000000,Cook_Inlet,5.9651866,75000200015657,Cook_Inlet_75000200015657
111,384563700.000000000000000,28969900.000000000000000,Cook_Inlet,7.0054526,75000200003107,Cook_Inlet_75000200003107
112,28437100.000000000000000,3827900.000000000000000,Cook_Inlet,11.8639393,75000200008009,Cook_Inlet_75000200008009
113,22149348500.000000000000000,6519712200.000000000000000,Cook_Inlet,22.7412834,75000200013536,Cook_Inlet_75000200013536
114,367876700.000000000000000,27723900.000000000000000,Cook_Inlet,7.0080533,75000200015867,Cook_Inlet_75000200015867
115,16662700.000000000000000,1243400.000000000000000,Cook_Inlet,6.9440022,75000200010712,Cook_Inlet_75000200010712
116,17012600.000000000000000,979100.000000000000000,Cook_Inlet,5.4419537,75000200003070,Cook_Inlet_75000200003070
117,291347200.000000000000000,90074000.000000000000000,Cook_Inlet,23.6153622,75000200006065,Cook_Inlet_75000200006065
118,263534600.000000000000000,41035700.000000000000000,Cook_Inlet,13.4733095,75000200010532,Cook_Inlet_75000200010532
119,349948900.000000000000000,26704000.000000000000000,Cook_Inlet,7.0898166,75000200005573,Cook_Inlet_75000200005573
120,366976900.000000000000000,27683500.000000000000000,Cook_Inlet,7.0145116,75000200005575,Cook_Inlet_75000200005575
121,1490183500.000000000000000,153677200.000000000000000,Cook_Inlet,9.3485537,75000200018331,Cook_Inlet_75000200018331
122,1070475000.000000000000000,119051700.000000000000000,Cook_Inlet,10.0083256,75000200005504,Cook_Inlet_75000200005504
123,824858400.000000000000000,84999600.000000000000000,Cook_Inlet,9.3420734,75000200003013,Cook_Inlet_75000200003013
124,305137500.000000000000000,45695000.000000000000000,Cook_Inlet,13.0247345,75000200015680,Cook_Inlet_75000200015680
