OID_,cat_ID_txt,cat_elev_ZONE_CODE,cat_elev_COUNT,cat_elev_AREA,cat_elev_MIN,cat_elev_MAX,cat_elev_RANGE,cat_elev_MEAN,cat_elev_STD,cat_elev_SUM,cat_elev_VARIETY,cat_elev_MAJORITY,cat_elev_MINORITY,cat_elev_MEDIAN,cat_elev_PCT90,region,cat_ID_con,cat_slope_COUNT,cat_slope_AREA,cat_slope_MIN,cat_slope_MAX,cat_slope_RANGE,cat_slope_MEAN,cat_slope_STD,cat_slope_SUM,cat_slope_MEDIAN,cat_slope_PCT90
40,75004300004452.0,40,26374.000000000000000,659350.000000000000000,176,331,155,212.054864639418014,36.601105440942490,5592735.000000000000000,156,183,331,197,269,Cook_Inlet,Cook_Inlet_75004300004452,26374.000000000000000,659350.000000000000000,0.000000000000000,52.930374145507812,52.930374145507812,8.506193447106034,7.082263023337072,224342.345973974530352,6.369048833847046,18.074761772155760
41,75004300000105.0,41,15482.000000000000000,387050.000000000000000,29,61,32,43.047474486500633,8.222797441779322,666461.000000000000000,33,48,61,43,54,Cook_Inlet,Cook_Inlet_75004300000105,15482.000000000000000,387050.000000000000000,0.000000000000000,21.853738784790039,21.853738784790039,4.961503017372759,3.911387589270814,76813.989714965049643,4.592563152313232,10.762602901458736
42,75004300006071.0,42,36100.000000000000000,902500.000000000000000,0,118,118,22.707036011080305,24.455424774680601,819724.000000000000000,119,5,118,8,63,Cook_Inlet,Cook_Inlet_75004300006071,36100.000000000000000,902500.000000000000000,0.000000000000000,42.079944610595703,42.079944610595703,8.723883730784262,8.021205430901990,314932.202681311871856,6.867482185363770,20.422268104553225
43,75004300004324.0,43,10207.000000000000000,255175.000000000000000,10,76,66,37.738708729303411,23.653706030395643,385199.000000000000000,67,12,28,39,64,Cook_Inlet,Cook_Inlet_75004300004324,10207.000000000000000,255175.000000000000000,0.000000000000000,54.459899902343750,54.459899902343750,8.123168095331176,9.963018106547477,82913.176749045305769,4.741802692413330,24.672283935546872
44,75004300001288.0,44,35152.000000000000000,878800.000000000000000,154,260,106,193.243684569866588,21.323303643584428,6792902.000000000000000,107,207,260,194,221,Cook_Inlet,Cook_Inlet_75004300001288,35152.000000000000000,878800.000000000000000,0.000000000000000,34.281768798828125,34.281768798828125,8.419207625418505,6.000185906908786,295951.986448711249977,7.065323829650879,17.160163307189944
45,75004300006013.0,45,23471.000000000000000,586775.000000000000000,32,85,53,44.686378935707850,11.978856785990487,1048834.000000000000000,54,34,85,39,67,Cook_Inlet,Cook_Inlet_75004300006013,23471.000000000000000,586775.000000000000000,0.000000000000000,29.051635742187500,29.051635742187500,4.534413466685896,4.173387290416328,106427.218476584661403,4.239963531494141,9.778531074523926
46,75004400004829.0,46,1120.000000000000000,28000.000000000000000,154,159,5,156.778571428571553,0.896961992687839,175592.000000000000000,6,157,154,157,158,Cook_Inlet,Cook_Inlet_75004400004829,1120.000000000000000,28000.000000000000000,0.000000000000000,11.922959327697754,11.922959327697754,3.699848859722259,2.444520753559104,4143.830722888930723,3.925657510757446,6.602099895477295
47,75004400000576.0,47,48256.000000000000000,1206400.000000000000000,133,252,119,165.805765086207600,27.555446738892595,8001123.000000000000000,120,142,252,153,206,Cook_Inlet,Cook_Inlet_75004400000576,48256.000000000000000,1206400.000000000000000,0.000000000000000,33.184963226318359,33.184963226318359,7.747096726945085,5.573919197855873,373843.899655462068040,6.250122547149658,15.912966728210449
48,75004400006041.0,48,70276.000000000000000,1756900.000000000000000,43,73,30,56.146237691388336,7.952211300570638,3945733.000000000000000,31,45,73,57,66,Cook_Inlet,Cook_Inlet_75004400006041,70276.000000000000000,1756900.000000000000000,0.000000000000000,25.792285919189453,25.792285919189453,3.828757485966926,3.358061954356662,269069.761083811696153,3.733721971511841,8.294887065887451
49,75004400010402.0,49,237705.000000000000000,5942625.000000000000000,22,63,41,33.452990050692755,6.182593195774405,7951943.000000000000000,42,38,22,35,39,Cook_Inlet,Cook_Inlet_75004400010402,237705.000000000000000,5942625.000000000000000,0.000000000000000,24.340286254882812,24.340286254882812,2.351554423133241,2.698645752935519,558976.244150887127034,1.296392440795898,5.704526901245117
50,75004400008856.0,50,314849.000000000000000,7871225.000000000000000,126,962,836,339.779773796325685,178.169196521808686,106979322.000000000000000,827,126,945,280,630,Cook_Inlet,Cook_Inlet_75004400008856,314849.000000000000000,7871225.000000000000000,0.000000000000000,60.537899017333984,60.537899017333984,20.621672878423009,13.023704393522006,6492713.084098606370389,18.642326354980469,39.620830535888679
51,75004400010754.0,51,3060.000000000000000,76500.000000000000000,98,108,10,102.049019607843235,2.486607728026170,312270.000000000000000,11,99,98,102,105,Cook_Inlet,Cook_Inlet_75004400010754,3060.000000000000000,76500.000000000000000,0.000000000000000,17.047124862670898,17.047124862670898,4.660515177973674,3.700611114981326,14261.176444599443130,4.621087074279785,9.945494365692138
52,75004400010810.0,52,10744.000000000000000,268600.000000000000000,205,320,115,220.443037974683477,19.375706792384086,2368440.000000000000000,116,208,268,212,240,Cook_Inlet,Cook_Inlet_75004400010810,10744.000000000000000,268600.000000000000000,0.000000000000000,42.360092163085938,42.360092163085938,6.509869592301584,7.136733425859273,69942.038899688224774,4.835612535476685,17.191122055053714
53,75004400002950.0,53,100550.000000000000000,2513750.000000000000000,125,396,271,285.249358528096764,76.323028651073969,28681823.000000000000000,272,347,396,321,357,Cook_Inlet,Cook_Inlet_75004400002950,100550.000000000000000,2513750.000000000000000,0.000000000000000,58.867767333984375,58.867767333984375,11.509435243195048,11.133363618271847,1157273.713703262154013,7.056539535522461,30.125985908508301
54,75004400009144.0,54,245612.000000000000000,6140300.000000000000000,56,437,381,157.313624741462036,102.516190201751812,38638114.000000000000000,382,62,426,115,311,Cook_Inlet,Cook_Inlet_75004400009144,245612.000000000000000,6140300.000000000000000,0.000000000000000,44.239749908447266,44.239749908447266,8.471944933267407,6.679220265407295,2080811.338949674274772,6.894726753234863,17.993058586120604
55,75004400006357.0,55,115321.000000000000000,2883025.000000000000000,280,1390,1110,566.158167202852042,241.276760165878358,65289926.000000000000000,1111,387,1378,474,945,Cook_Inlet,Cook_Inlet_75004400006357,115321.000000000000000,2883025.000000000000000,0.000000000000000,52.550559997558594,52.550559997558594,19.122831147058861,10.770584548072298,2205264.010709974914789,17.328088760375977,34.614849090576172
56,75004400007385.0,56,463156.000000000000000,11578900.000000000000000,18,110,92,57.995269412465532,14.797303972183547,26860857.000000000000000,93,64,110,61,75,Cook_Inlet,Cook_Inlet_75004400007385,463156.000000000000000,11578900.000000000000000,0.000000000000000,37.945564270019531,37.945564270019531,4.630359301731265,4.003383428515593,2144578.692752645816654,4.403456687927246,9.518125534057617
57,75004400007948.0,57,34272.000000000000000,856800.000000000000000,147,288,141,183.945728291317835,41.485002807556498,6304188.000000000000000,142,153,288,157,256,Cook_Inlet,Cook_Inlet_75004400007948,34272.000000000000000,856800.000000000000000,0.000000000000000,41.298725128173828,41.298725128173828,10.992119706728541,9.338393973095316,376721.926589000562672,7.398970842361450,25.606220245361328
