OID_,cat_ID_txt,O1Region,wtd_glacier_area_sqm,wtd_glacier_per,region,cat_ID,cat_ID_con
83,4101123, 1,27206915.503818169236183,0.692386058375657,Bristol_Bay,4101123,Bristol_Bay_4101123
84,4105594, 1,2295210.663336732424796,2.097095915137754,Bristol_Bay,4105594,Bristol_Bay_4105594
85,4107464, 1,56038801.164083920419216,0.596138021287752,Bristol_Bay,4107464,Bristol_Bay_4107464
86,4115672, 1,16692986.771507726982236,1.841541151688120,Bristol_Bay,4115672,Bristol_Bay_4115672
87,5034893, 1,5853387.983775764703751,0.439431236931260,Bristol_Bay,5034893,Bristol_Bay_5034893
88,103496, 1,3359989.533894296735525,5.750649575365059,Kodiak,103496,Kodiak_103496
89,128685, 1,404722.022007544001099,0.391454456126063,Kodiak,128685,Kodiak_128685
90,43185, 1,16637956.325064530596137,69.461135499520026,Prince_William_Sound,43185,Prince_William_Sound_43185
91,43933, 1,918368.282951022265479,2.838192947387846,Prince_William_Sound,43933,Prince_William_Sound_43933
92,44553, 1,23522394.915745750069618,46.771364435004465,Prince_William_Sound,44553,Prince_William_Sound_44553
93,46513, 1,139626681.240526854991913,29.547581188586076,Prince_William_Sound,46513,Prince_William_Sound_46513
