OID_,non_wetland_area,wetland_area,region,wtd_wet_per,cat_ID_txt,cat_ID_con
168,47651500.000000000000000,22260700.000000000000000,Cook_Inlet,31.8409386,75000200000213,Cook_Inlet_75000200000213
169,14560100.000000000000000,16090500.000000000000000,Cook_Inlet,52.4965248,75000200015782,Cook_Inlet_75000200015782
170,145673400.000000000000000,19790300.000000000000000,Cook_Inlet,11.9605083,75000200011141,Cook_Inlet_75000200011141
171,959600.000000000000000,2235800.000000000000000,Cook_Inlet,69.9693298,75000200008051,Cook_Inlet_75000200008051
172,147861100.000000000000000,215696000.000000000000000,Cook_Inlet,59.3293304,75000200013319,Cook_Inlet_75000200013319
173,50185300.000000000000000,22665000.000000000000000,Cook_Inlet,31.1117458,75000200007852,Cook_Inlet_75000200007852
174,166484200.000000000000000,66984200.000000000000000,Cook_Inlet,28.6909065,75000200000465,Cook_Inlet_75000200000465
175,575425000.000000000000000,379185100.000000000000000,Cook_Inlet,39.7214622,75000200013237,Cook_Inlet_75000200013237
176,1009700.000000000000000,2947100.000000000000000,Cook_Inlet,74.4819031,75000200007870,Cook_Inlet_75000200007870
177,5625500.000000000000000,667900.000000000000000,Cook_Inlet,10.6127052,75000200000011,Cook_Inlet_75000200000011
178,406294700.000000000000000,6386600.000000000000000,Cook_Inlet,1.5475864,75000200013953,Cook_Inlet_75000200013953
179,160616000.000000000000000,14400.000000000000000,Cook_Inlet,0.0089647,75000200004615,Cook_Inlet_75000200004615
180,12365900.000000000000000,2859100.000000000000000,Cook_Inlet,18.7789822,75000200010148,Cook_Inlet_75000200010148
181,68646300.000000000000000,17030700.000000000000000,Cook_Inlet,19.8777962,75000200013892,Cook_Inlet_75000200013892
182,10283700.000000000000000,5659300.000000000000000,Cook_Inlet,35.4970818,75000200013179,Cook_Inlet_75000200013179
183,570458500.000000000000000,371734900.000000000000000,Cook_Inlet,39.4542046,75000200002984,Cook_Inlet_75000200002984
184,434871500.000000000000000,19069100.000000000000000,Cook_Inlet,4.2007918,75000200007660,Cook_Inlet_75000200007660
185,159015200.000000000000000,77619600.000000000000000,Cook_Inlet,32.8014297,75000200005448,Cook_Inlet_75000200005448
186,681364500.000000000000000,121993500.000000000000000,Cook_Inlet,15.1854467,75000200018581,Cook_Inlet_75000200018581
187,424527800.000000000000000,5766400.000000000000000,Cook_Inlet,1.3401064,75000200011336,Cook_Inlet_75000200011336
188,654787500.000000000000000,205413700.000000000000000,Cook_Inlet,23.8797264,75000200012999,Cook_Inlet_75000200012999
189,424598200.000000000000000,7510400.000000000000000,Cook_Inlet,1.7380816,75000200003732,Cook_Inlet_75000200003732
190,18163500.000000000000000,1963900.000000000000000,Cook_Inlet,9.7573462,75000200008734,Cook_Inlet_75000200008734
191,663860400.000000000000000,118244500.000000000000000,Cook_Inlet,15.1187515,75000200000021,Cook_Inlet_75000200000021
192,752649700.000000000000000,450951800.000000000000000,Cook_Inlet,37.4668694,75000200005532,Cook_Inlet_75000200005532
193,508667700.000000000000000,41322700.000000000000000,Cook_Inlet,7.5133495,75000200018882,Cook_Inlet_75000200018882
194,29165600.000000000000000,13145300.000000000000000,Cook_Inlet,31.0683537,75000200005404,Cook_Inlet_75000200005404
195,11399800.000000000000000,13386300.000000000000000,Cook_Inlet,54.0072861,75000200015587,Cook_Inlet_75000200015587
196,49108000.000000000000000,8428800.000000000000000,Cook_Inlet,14.6494074,75000200015319,Cook_Inlet_75000200015319
197,1039434200.000000000000000,734267600.000000000000000,Cook_Inlet,41.3974648,75000200015900,Cook_Inlet_75000200015900
198,15924100.000000000000000,6560000.000000000000000,Cook_Inlet,29.1761742,75000200005077,Cook_Inlet_75000200005077
199,342232900.000000000000000,2942600.000000000000000,Cook_Inlet,0.8524939,75000200008950,Cook_Inlet_75000200008950
200,506318200.000000000000000,40293300.000000000000000,Cook_Inlet,7.3714695,75000200015320,Cook_Inlet_75000200015320
201,16861400.000000000000000,23900.000000000000000,Cook_Inlet,0.1415432,75000200012046,Cook_Inlet_75000200012046
202,107918900.000000000000000,4500.000000000000000,Cook_Inlet,0.0041696,75000200002162,Cook_Inlet_75000200002162
203,16693800.000000000000000,1034200.000000000000000,Cook_Inlet,5.8337092,75000200011392,Cook_Inlet_75000200011392
204,170437300.000000000000000,61928000.000000000000000,Cook_Inlet,26.6511402,75000200000278,Cook_Inlet_75000200000278
205,46567800.000000000000000,22424800.000000000000000,Cook_Inlet,32.5031967,75000200018259,Cook_Inlet_75000200018259
206,201650700.000000000000000,102590300.000000000000000,Cook_Inlet,33.7200775,75000200005444,Cook_Inlet_75000200005444
207,19258900.000000000000000,9067200.000000000000000,Cook_Inlet,32.0100555,75000200018203,Cook_Inlet_75000200018203
208,207805500.000000000000000,103802700.000000000000000,Cook_Inlet,33.3119278,75000200008110,Cook_Inlet_75000200008110
209,28158500.000000000000000,31808400.000000000000000,Cook_Inlet,53.0432625,75000200018317,Cook_Inlet_75000200018317
210,360745000.000000000000000,27504000.000000000000000,Cook_Inlet,7.0841136,75000200000949,Cook_Inlet_75000200000949
211,236582100.000000000000000,137342500.000000000000000,Cook_Inlet,36.7299995,75000200013249,Cook_Inlet_75000200013249
212,38969100.000000000000000,14339300.000000000000000,Cook_Inlet,26.8987617,75000200013010,Cook_Inlet_75000200013010
213,205714900.000000000000000,100171100.000000000000000,Cook_Inlet,32.7478523,75000200000418,Cook_Inlet_75000200000418
214,2270600.000000000000000,1305700.000000000000000,Cook_Inlet,36.5098000,75000200002552,Cook_Inlet_75000200002552
215,529977200.000000000000000,57858400.000000000000000,Cook_Inlet,9.8426161,75000200008508,Cook_Inlet_75000200008508
216,3961400.000000000000000,2400.000000000000000,Cook_Inlet,0.0605480,75000200007670,Cook_Inlet_75000200007670
217,12959400.000000000000000,1850900.000000000000000,Cook_Inlet,12.4973831,75000200008676,Cook_Inlet_75000200008676
218,551982400.000000000000000,93973900.000000000000000,Cook_Inlet,14.5480270,75000200018667,Cook_Inlet_75000200018667
219,12138700.000000000000000,4500.000000000000000,Cook_Inlet,0.0370578,75000200011572,Cook_Inlet_75000200011572
220,12732700.000000000000000,16800.000000000000000,Cook_Inlet,0.1317699,75000200011623,Cook_Inlet_75000200011623
221,165807100.000000000000000,55400.000000000000000,Cook_Inlet,0.0334012,75000200019765,Cook_Inlet_75000200019765
222,15603800.000000000000000,5501700.000000000000000,Cook_Inlet,26.0676136,75000200016095,Cook_Inlet_75000200016095
223,209423700.000000000000000,381000.000000000000000,Cook_Inlet,0.1815975,75000200014508,Cook_Inlet_75000200014508
224,1025745900.000000000000000,720198700.000000000000000,Cook_Inlet,41.2498016,75000200015883,Cook_Inlet_75000200015883
225,9649900.000000000000000,39100.000000000000000,Cook_Inlet,0.4035504,75000200014057,Cook_Inlet_75000200014057
226,4909000.000000000000000,11500.000000000000000,Cook_Inlet,0.2337161,75000200019263,Cook_Inlet_75000200019263
227,303992000.000000000000000,1383500.000000000000000,Cook_Inlet,0.4530488,75000200003896,Cook_Inlet_75000200003896
228,48761300.000000000000000,20900600.000000000000000,Cook_Inlet,30.0029144,75000200005619,Cook_Inlet_75000200005619
229,622528300.000000000000000,36219800.000000000000000,Cook_Inlet,5.4982777,75000200003312,Cook_Inlet_75000200003312
230,260168300.000000000000000,729700.000000000000000,Cook_Inlet,0.2796879,75000200014207,Cook_Inlet_75000200014207
231,46514704100.000000000000000,3624013100.000000000000000,Cook_Inlet,7.2279735,75000200007927,Cook_Inlet_75000200007927
232,20594200.000000000000000,35460600.000000000000000,Cook_Inlet,63.2605934,75000200011034,Cook_Inlet_75000200011034
233,976732700.000000000000000,699268300.000000000000000,Cook_Inlet,41.7224274,75000200015882,Cook_Inlet_75000200015882
234,602505400.000000000000000,104978400.000000000000000,Cook_Inlet,14.8382759,75000200016094,Cook_Inlet_75000200016094
