OID_,cat_ID_txt,FType,AwcHuc12_wtd_lake_area_sqm,AwcHuc12_wtd_lake_per,region,cat_ID,cat_ID_con
482,4106924,390,5463136.224757460877299,3.108194222736111,Bristol_Bay,4106924,Bristol_Bay_4106924
483,4106982,390,843430.489130958798341,0.856100780685098,Bristol_Bay,4106982,Bristol_Bay_4106982
484,4107112,390,1991740.274965230608359,2.435637677288790,Bristol_Bay,4107112,Bristol_Bay_4107112
485,4107154,390,578947233.214152336120605,10.840059945455717,Bristol_Bay,4107154,Bristol_Bay_4107154
486,4107234,390,40619453.564897067844868,0.627592695156870,Bristol_Bay,4107234,Bristol_Bay_4107234
487,4107454,390,198149657.819102793931961,2.108312929114405,Bristol_Bay,4107454,Bristol_Bay_4107454
488,4107464,390,198165320.546470612287521,2.108072971306527,Bristol_Bay,4107464,Bristol_Bay_4107464
489,4107502,390,1126618.233702901750803,1.118302536044872,Bristol_Bay,4107502,Bristol_Bay_4107502
490,4107604,390,630309679.987996935844421,5.037499544054526,Bristol_Bay,4107604,Bristol_Bay_4107604
491,4107732,390,2312687.721809480804950,1.834787865606435,Bristol_Bay,4107732,Bristol_Bay_4107732
492,4107994,390,650680768.488626241683960,5.012801190478218,Bristol_Bay,4107994,Bristol_Bay_4107994
493,4108004,390,237107505.567110657691956,2.188831399295472,Bristol_Bay,4108004,Bristol_Bay_4108004
494,4108152,390,5191841.527344775386155,2.556918802715172,Bristol_Bay,4108152,Bristol_Bay_4108152
495,4108222,390,952559.053502329741605,0.437764965119915,Bristol_Bay,4108222,Bristol_Bay_4108222
496,4108322,390,319082.426275227451697,0.113890082085052,Bristol_Bay,4108322,Bristol_Bay_4108322
497,4110612,390,853570.736614155583084,1.846220993078934,Bristol_Bay,4110612,Bristol_Bay_4110612
498,4111042,390,533204.203919705352746,0.750913572275151,Bristol_Bay,4111042,Bristol_Bay_4111042
499,4111152,390,159008.363418758846819,0.190543047184795,Bristol_Bay,4111152,Bristol_Bay_4111152
500,4111632,390,212838.060151062643854,0.297982342874711,Bristol_Bay,4111632,Bristol_Bay_4111632
501,4111942,390,258349.296482778270729,0.098057517042082,Bristol_Bay,4111942,Bristol_Bay_4111942
502,4112382,390,313831.530738754372578,0.309957679658384,Bristol_Bay,4112382,Bristol_Bay_4112382
503,4113292,390,270655.117031029891223,0.108384521321505,Bristol_Bay,4113292,Bristol_Bay_4113292
504,4114302,390,1162734.155802594264969,0.163472091310350,Bristol_Bay,4114302,Bristol_Bay_4114302
505,4114312,390,71862.028487124756793,0.074443197473110,Bristol_Bay,4114312,Bristol_Bay_4114312
506,4115902,390,51426643.866601042449474,19.882123697303829,Bristol_Bay,4115902,Bristol_Bay_4115902
507,4116442,390,69244284.457232594490051,11.714425337125443,Bristol_Bay,4116442,Bristol_Bay_4116442
508,4116692,390,70623513.395376592874527,9.388437083169757,Bristol_Bay,4116692,Bristol_Bay_4116692
509,4117142,390,73602831.553608685731888,8.380067859270905,Bristol_Bay,4117142,Bristol_Bay_4117142
510,4117812,390,4012702.817305818665773,4.100184350610443,Bristol_Bay,4117812,Bristol_Bay_4117812
511,4118242,390,7169910.538304237648845,1.977778140811351,Bristol_Bay,4118242,Bristol_Bay_4118242
512,4118552,390,7170152.052919017150998,1.381201923185423,Bristol_Bay,4118552,Bristol_Bay_4118552
513,4119022,390,7536378.234520331956446,0.692347739787357,Bristol_Bay,4119022,Bristol_Bay_4119022
514,4119372,390,8299453.574970710091293,0.655815205892572,Bristol_Bay,4119372,Bristol_Bay_4119372
515,4119432,390,11833500.165260149165988,0.271210548910116,Bristol_Bay,4119432,Bristol_Bay_4119432
516,4119632,390,93410570.492309823632240,1.892501515396185,Bristol_Bay,4119632,Bristol_Bay_4119632
517,4119952,390,94492424.662233173847198,1.857782242842088,Bristol_Bay,4119952,Bristol_Bay_4119952
