cat_ID_con,wtd_lcld_mn_2001,wtd_lcld_mn_2002,wtd_lcld_mn_2003,wtd_lcld_mn_2004,wtd_lcld_mn_2005,wtd_lcld_mn_2006,wtd_lcld_mn_2007,wtd_lcld_mn_2008,wtd_lcld_mn_2009,wtd_lcld_mn_2010,wtd_lcld_mn_2011,wtd_lcld_mn_2012,wtd_lcld_mn_2013,wtd_lcld_mn_2014,wtd_lcld_mn_2015,wtd_lcld_mn_2016,wtd_lcld_mn_2017,wtd_lcld_mn_2018,wtd_lcld_mn_2019
Cook_Inlet_75000200013249,503.0935828877005,497.2909698996656,478.8292029470864,480.0401606425703,493.1032171581767,494.70328198258545,474.66131191432396,495.44042838018754,488.05157401205634,487.63429336905546,339.94919786096267,494.83389149363694,506.7106496985934,480.91487935656824,471.6633199464524,471.24983255190887,474.9096385542168,485.4665327978581,481.25184192900196
Cook_Inlet_75000200013010,501.4398148148148,494.40740740740756,475.5462962962961,477.13425925925935,489.89814814814815,492.41203703703707,475.46296296296293,495.58796296296293,488.89814814814827,488.07407407407396,341.18518518518516,494.1990740740742,505.3518518518518,478.5833333333332,467.0046296296295,468.4861111111112,472.71296296296276,483.75462962962973,480.712962962963
Cook_Inlet_75000200000418,504.59512195121954,498.15934959349596,479.8959349593495,480.4650406504066,493.92833876221493,495.7601626016261,475.2772357723577,496.3756097560976,488.488617886179,488.2243902439024,339.85691056910576,495.8112286411718,507.6056910569107,481.2701383238405,473.1373983739837,472.5422764227642,475.71951219512175,486.1869918699187,482.57235772357734
Cook_Inlet_75000200002552,496.8461538461538,494.6923076923077,474.9230769230769,474.38461538461536,489.0,490.1538461538462,472.07692307692315,490.0,486.0,483.6923076923077,341.0,492.23076923076917,502.84615384615387,481.0,464.53846153846155,463.61538461538464,470.0769230769231,477.8461538461538,472.38461538461536
Cook_Inlet_75000200008508,491.81668114682896,494.68752716210344,451.3877995642702,484.57092972501096,488.2159685863873,487.34319269247504,482.87869565217403,489.1553524804178,484.91336525903347,486.4893339138006,352.02565217391304,496.0469157254563,504.88176265270516,478.0226480836237,464.34627126035747,459.48952879581145,484.70017406440394,490.3605915615486,478.03530950305134
Cook_Inlet_75000200007670,488.00000000000006,487.53333333333336,418.6666666666667,477.46666666666664,475.1333333333333,480.2666666666667,471.4666666666667,476.20000000000005,476.00000000000006,478.7333333333333,348.7142857142857,485.1333333333333,495.4,469.93333333333334,444.79999999999995,445.4666666666667,473.73333333333335,475.46666666666664,466.8
Cook_Inlet_75000200008676,476.125,488.1785714285715,428.2678571428571,478.37499999999994,476.8035714285714,482.5892857142857,478.6785714285714,480.0892857142858,476.4642857142858,479.7321428571429,355.7142857142857,487.2678571428571,500.0714285714286,477.82142857142856,462.5357142857143,450.28571428571416,477.83928571428555,476.6964285714286,468.23214285714283
Cook_Inlet_75000200018667,490.5234248788369,493.94741100323625,450.1943089430895,484.2475570032574,487.19462540716614,486.280210867802,482.33185125303163,488.3738355609558,484.3223844282238,485.7269043760129,356.3364185110664,495.1113801452785,503.94749694749703,477.75,463.58981670061087,458.4378818737271,484.091314935065,489.1404289761231,477.19926799511984
Cook_Inlet_75000200011572,498.66,497.82000000000005,467.64,483.64,488.44000000000005,496.2400000000002,485.02,496.42,485.65999999999997,488.1,345.0599999999999,497.8000000000001,509.38000000000005,474.43999999999994,467.38,466.6,484.14000000000004,494.06000000000006,489.43999999999994
Cook_Inlet_75000200011623,489.01886792452825,491.11320754716985,449.6981132075471,476.5471698113207,480.9433962264152,485.75471698113205,473.9622641509435,483.88679245283015,479.92452830188677,480.7169811320754,347.90566037735863,489.94339622641513,502.4716981132076,458.5849056603774,448.1698113207548,456.9056603773585,475.3396226415094,488.01886792452825,477.58490566037733
