OID_,cat_ID_txt,FType,wtd_lake_area_sqm,wtd_lake_per,region,cat_ID,cat_ID_con
80,75000200011034,390,6429038.952515050768852,11.468906580448964,Cook_Inlet,75000200011034,Cook_Inlet_75000200011034
81,75000200011141,390,1742394.018402922898531,1.053026521162686,Cook_Inlet,75000200011141,Cook_Inlet_75000200011141
82,75000200011336,390,1386588.456599004799500,0.322247443978404,Cook_Inlet,75000200011336,Cook_Inlet_75000200011336
83,75000200011392,390,24171.906710303654108,0.136366250767956,Cook_Inlet,75000200011392,Cook_Inlet_75000200011392
84,75000200012999,390,8175550.248374540358782,0.950376012556600,Cook_Inlet,75000200012999,Cook_Inlet_75000200012999
85,75000200013010,390,358646.448638880508952,0.673045221528823,Cook_Inlet,75000200013010,Cook_Inlet_75000200013010
86,75000200013033,390,26920.286523851875245,1.400821446735295,Cook_Inlet,75000200013033,Cook_Inlet_75000200013033
87,75000200013179,390,108042.652094441466033,0.677752019663746,Cook_Inlet,75000200013179,Cook_Inlet_75000200013179
88,75000200013185,390,2071685.533798930933699,1.479224633474362,Cook_Inlet,75000200013185,Cook_Inlet_75000200013185
89,75000200013187,390,2071685.533798932330683,1.477567472716997,Cook_Inlet,75000200013187,Cook_Inlet_75000200013187
90,75000200013189,390,1786770.097919337917119,1.876499125552386,Cook_Inlet,75000200013189,Cook_Inlet_75000200013189
91,75000200013237,390,15463559.177166981622577,1.619948051762009,Cook_Inlet,75000200013237,Cook_Inlet_75000200013237
92,75000200013249,390,5200649.766615496948361,1.390777134610278,Cook_Inlet,75000200013249,Cook_Inlet_75000200013249
93,75000200013258,390,13792.920343370240516,0.754608367557374,Cook_Inlet,75000200013258,Cook_Inlet_75000200013258
94,75000200013266,390,14618984.467448640614748,1.606842157198751,Cook_Inlet,75000200013266,Cook_Inlet_75000200013266
95,75000200013319,390,14456677.180302971974015,3.976385450606676,Cook_Inlet,75000200013319,Cook_Inlet_75000200013319
96,75000200013536,390,455772925.344861149787903,1.589789166634292,Cook_Inlet,75000200013536,Cook_Inlet_75000200013536
97,75000200013892,390,4992262.696697941049933,5.826513034724242,Cook_Inlet,75000200013892,Cook_Inlet_75000200013892
98,75000200013953,390,1548041.262873584171757,0.375085321862307,Cook_Inlet,75000200013953,Cook_Inlet_75000200013953
99,75000200014207,390,447623.584793096582871,0.171547589250965,Cook_Inlet,75000200014207,Cook_Inlet_75000200014207
100,75000200014508,390,370845.092188526003156,0.176730245686866,Cook_Inlet,75000200014508,Cook_Inlet_75000200014508
101,75000200014914,390,329818.095247259887401,0.284063980890972,Cook_Inlet,75000200014914,Cook_Inlet_75000200014914
102,75000200015319,390,4457815.814991716295481,7.747454898662627,Cook_Inlet,75000200015319,Cook_Inlet_75000200015319
103,75000200015320,390,6635235.879704578779638,1.213802498180268,Cook_Inlet,75000200015320,Cook_Inlet_75000200015320
104,75000200015469,390,368129.237235527078155,0.844796200848095,Cook_Inlet,75000200015469,Cook_Inlet_75000200015469
105,75000200015505,390,740261.914417045423761,1.244431004832309,Cook_Inlet,75000200015505,Cook_Inlet_75000200015505
106,75000200015584,390,308599.203415975556709,1.022448376649318,Cook_Inlet,75000200015584,Cook_Inlet_75000200015584
107,75000200015587,390,308599.203415975440294,1.245185097472921,Cook_Inlet,75000200015587,Cook_Inlet_75000200015587
108,75000200015657,390,474531.913200869632419,0.925943029456222,Cook_Inlet,75000200015657,Cook_Inlet_75000200015657
109,75000200015680,390,4979715.788895742036402,1.419625587793802,Cook_Inlet,75000200015680,Cook_Inlet_75000200015680
110,75000200015695,390,284915.435879592550918,0.651421773861231,Cook_Inlet,75000200015695,Cook_Inlet_75000200015695
111,75000200015782,390,701896.996561431908049,2.289988711898014,Cook_Inlet,75000200015782,Cook_Inlet_75000200015782
112,75000200015860,390,1676303.501534492708743,3.930468407193889,Cook_Inlet,75000200015860,Cook_Inlet_75000200015860
113,75000200015867,390,5464740.959982415661216,1.381325342458695,Cook_Inlet,75000200015867,Cook_Inlet_75000200015867
114,75000200015882,390,33848264.797672107815742,2.019708489941177,Cook_Inlet,75000200015882,Cook_Inlet_75000200015882
115,75000200015883,390,34541154.806030094623566,1.978482590508789,Cook_Inlet,75000200015883,Cook_Inlet_75000200015883
116,75000200015900,390,34614877.199324697256088,1.951675832856227,Cook_Inlet,75000200015900,Cook_Inlet_75000200015900
117,75000200016094,390,20703511.343696281313896,2.926190956213285,Cook_Inlet,75000200016094,Cook_Inlet_75000200016094
118,75000200016095,390,1836771.185613936511800,8.701962997931254,Cook_Inlet,75000200016095,Cook_Inlet_75000200016095
119,75000200017518,390,214281.490932103537489,0.478812164295143,Cook_Inlet,75000200017518,Cook_Inlet_75000200017518
120,75000200018069,390,141112.939875018928433,2.458745580294001,Cook_Inlet,75000200018069,Cook_Inlet_75000200018069
121,75000200018203,390,223649.188683743239380,0.789539796940367,Cook_Inlet,75000200018203,Cook_Inlet_75000200018203
122,75000200018259,390,1170121.180180251365528,1.696061925806724,Cook_Inlet,75000200018259,Cook_Inlet_75000200018259
123,75000200018266,390,2105176.679152802098542,1.330358978967757,Cook_Inlet,75000200018266,Cook_Inlet_75000200018266
124,75000200018317,390,1164292.233746943762526,1.941584050723909,Cook_Inlet,75000200018317,Cook_Inlet_75000200018317
125,75000200018331,390,33521772.593651261180639,2.039337456558071,Cook_Inlet,75000200018331,Cook_Inlet_75000200018331
126,75000200018332,390,32058785.900615260004997,2.044907962141456,Cook_Inlet,75000200018332,Cook_Inlet_75000200018332
127,75000200018577,390,2272208.319715618621558,2.645176178819259,Cook_Inlet,75000200018577,Cook_Inlet_75000200018577
128,75000200018581,390,27262364.300491124391556,3.393361873489964,Cook_Inlet,75000200018581,Cook_Inlet_75000200018581
129,75000200018667,390,16255983.665596045553684,2.516420163847055,Cook_Inlet,75000200018667,Cook_Inlet_75000200018667
130,75000200018806,390,3008505.323413982521743,0.329759003820518,Cook_Inlet,75000200018806,Cook_Inlet_75000200018806
131,75000200018882,390,7045292.881705604493618,1.280895502935795,Cook_Inlet,75000200018882,Cook_Inlet_75000200018882
132,75000200019765,390,370845.092188525944948,0.223543503610213,Cook_Inlet,75000200019765,Cook_Inlet_75000200019765
133,75000300025361,390,25725531.753800053149462,0.493561041793391,Cook_Inlet,75000300025361,Cook_Inlet_75000300025361
134,75000400000173,390,1597760.173767681466416,2.053838671262941,Cook_Inlet,75000400000173,Cook_Inlet_75000400000173
135,75000400009620,390,10809738.975599352270365,0.202930772682646,Cook_Inlet,75000400009620,Cook_Inlet_75000400009620
136,75000400014403,390,269351.855480394675396,0.206459414559609,Cook_Inlet,75000400014403,Cook_Inlet_75000400014403
137,75000400014405,390,104680.902489777465235,0.648948460162265,Cook_Inlet,75000400014405,Cook_Inlet_75000400014405
138,75000500009621,390,818188.473001348786056,0.200951591867478,Cook_Inlet,75000500009621,Cook_Inlet_75000500009621
139,75000500009975,390,2318538.233485534321517,1.838559336728242,Cook_Inlet,75000500009975,Cook_Inlet_75000500009975
140,75000500010609,390,27972746.447452537715435,0.428445573973732,Cook_Inlet,75000500010609,Cook_Inlet_75000500010609
141,75000500011984,390,1895574.759019148536026,1.899284063082981,Cook_Inlet,75000500011984,Cook_Inlet_75000500011984
142,75000600010189,390,99182489.694888234138489,0.627961220250094,Cook_Inlet,75000600010189,Cook_Inlet_75000600010189
143,75000600030148,390,60400.071347968754708,0.035555006280158,Cook_Inlet,75000600030148,Cook_Inlet_75000600030148
144,75000700030756,390,360577188.214061319828033,2.698379043060897,Cook_Inlet,75000700030756,Cook_Inlet_75000700030756
145,75000700032122,390,18376801.208315461874008,0.771559028421206,Cook_Inlet,75000700032122,Cook_Inlet_75000700032122
146,75000700036166,390,387374293.279529750347137,2.378427282129277,Cook_Inlet,75000700036166,Cook_Inlet_75000700036166
147,75004300000100,390,35873.496885318105342,0.123866905333184,Cook_Inlet,75004300000100,Cook_Inlet_75004300000100
148,75004300000101,390,3275.936743717093123,0.031960904136479,Cook_Inlet,75004300000101,Cook_Inlet_75004300000101
149,75004300000105,390,49578.709755581046920,0.042187178582581,Cook_Inlet,75004300000105,Cook_Inlet_75004300000105
150,75004300000856,390,3686987.411179455462843,2.349610403509759,Cook_Inlet,75004300000856,Cook_Inlet_75004300000856
151,75004300001162,390,243656.039159681618912,0.133111553218076,Cook_Inlet,75004300001162,Cook_Inlet_75004300001162
