OID_,cat_ID_txt,AwcHuc12_cat_elev_ZONE_CODE,AwcHuc12_cat_elev_COUNT,AwcHuc12_cat_elev_AREA,AwcHuc12_cat_elev_MIN,AwcHuc12_cat_elev_MAX,AwcHuc12_cat_elev_RANGE,AwcHuc12_cat_elev_MEAN,AwcHuc12_cat_elev_STD,AwcHuc12_cat_elev_SUM,AwcHuc12_cat_elev_VARIETY,AwcHuc12_cat_elev_MAJORITY,AwcHuc12_cat_elev_MINORITY,AwcHuc12_cat_elev_MEDIAN,AwcHuc12_cat_elev_PCT90,region,cat_ID_con
72,2067097,72,698.000000000000000,69800.000000000000000,195,326,131,214.939828080229177,27.621818562785315,150028.000000000000000,108,197,226,200,255,Bristol_Bay,Bristol_Bay_2067097
73,2067114,73,825.000000000000000,82500.000000000000000,11,31,20,19.003636363636346,5.199415945161424,15678.000000000000000,20,15,31,18,27,Bristol_Bay,Bristol_Bay_2067114
74,2067195,74,1774.000000000000000,177400.000000000000000,65,87,22,69.144870349492621,5.848701583625724,122663.000000000000000,23,65,87,66,79,Bristol_Bay,Bristol_Bay_2067195
75,2067465,75,4268.000000000000000,426800.000000000000000,27,41,14,30.681818181818155,2.734327800716061,130950.000000000000000,15,29,41,30,35,Bristol_Bay,Bristol_Bay_2067465
76,2067604,76,8006.000000000000000,800600.000000000000000,11,34,23,19.462528103922054,6.218643634861556,155817.000000000000000,24,11,34,19,28,Bristol_Bay,Bristol_Bay_2067604
77,2068147,77,39064.000000000000000,3906400.000000000000000,141,308,167,178.797230186360764,28.385574814946011,6984535.000000000000000,168,149,307,174,218,Bristol_Bay,Bristol_Bay_2068147
78,2068305,78,2664.000000000000000,266400.000000000000000,11,78,67,30.918543543543528,16.004167577875364,82367.000000000000000,68,11,77,27,52,Bristol_Bay,Bristol_Bay_2068305
79,2068474,79,585.000000000000000,58500.000000000000000,42,75,33,49.947008547008529,8.791153018409432,29219.000000000000000,34,44,74,45,65,Bristol_Bay,Bristol_Bay_2068474
80,2068514,80,1922.000000000000000,192200.000000000000000,16,45,29,25.569198751300721,7.030752153278562,49144.000000000000000,30,25,16,24,39,Bristol_Bay,Bristol_Bay_2068514
81,2068597,81,8178.000000000000000,817800.000000000000000,191,219,28,196.970041574956809,8.982562794590057,1610821.000000000000000,29,191,219,192,214,Bristol_Bay,Bristol_Bay_2068597
82,2068715,82,10951.000000000000000,1095100.000000000000000,27,46,19,34.407542690165194,3.059453150769663,376797.000000000000000,20,36,46,35,37,Bristol_Bay,Bristol_Bay_2068715
83,2068895,83,669.000000000000000,66900.000000000000000,18,28,10,21.427503736920812,3.007149908113384,14335.000000000000000,11,20,25,20,27,Bristol_Bay,Bristol_Bay_2068895
84,2069087,84,2020.000000000000000,202000.000000000000000,191,200,9,193.443564356435672,3.279441386915497,390756.000000000000000,10,191,192,191,199,Bristol_Bay,Bristol_Bay_2069087
85,2069134,85,7634.000000000000000,763400.000000000000000,14,27,13,17.114749803510524,3.151312029949224,130654.000000000000000,14,14,27,16,21,Bristol_Bay,Bristol_Bay_2069134
86,2069144,86,4563.000000000000000,456300.000000000000000,11,59,48,15.429761122068804,3.098013136045009,70406.000000000000000,34,15,25,15,18,Bristol_Bay,Bristol_Bay_2069144
87,2069287,87,3541.000000000000000,354100.000000000000000,133,162,29,142.669584863032981,7.687658210231755,505193.000000000000000,30,141,146,140,156,Bristol_Bay,Bristol_Bay_2069287
88,2069334,88,8381.000000000000000,838100.000000000000000,13,19,6,15.213578331941296,1.073022597631317,127505.000000000000000,7,15,13,15,17,Bristol_Bay,Bristol_Bay_2069334
89,2069365,89,4847.000000000000000,484700.000000000000000,11,94,83,45.990096967196195,20.659427645020852,222914.000000000000000,84,51,94,47,76,Bristol_Bay,Bristol_Bay_2069365
90,2069504,90,723.000000000000000,72300.000000000000000,58,63,5,59.681881051175665,0.565040350057237,43150.000000000000000,6,60,63,60,60,Bristol_Bay,Bristol_Bay_2069504
91,2069737,91,1586.000000000000000,158600.000000000000000,60,113,53,82.109709962168964,19.939456130014445,130226.000000000000000,54,61,76,81,108,Bristol_Bay,Bristol_Bay_2069737
92,2069987,92,7195.000000000000000,719500.000000000000000,9,27,18,16.234051424600409,4.165076308228532,116804.000000000000000,19,19,22,18,20,Bristol_Bay,Bristol_Bay_2069987
93,2070037,93,76253.000000000000000,7625300.000000000000000,5,24,19,10.891453451011735,5.293582250079787,830506.000000000000000,20,7,24,8,20,Bristol_Bay,Bristol_Bay_2070037
94,2070127,94,15647.000000000000000,1564700.000000000000000,1,19,18,6.076755927653844,3.630826174714469,95083.000000000000000,15,6,8,6,11,Bristol_Bay,Bristol_Bay_2070127
