Region,HUC12,Year,Scenario,TempSens,dist_coast_km,wtd_area_sqKM,str_slope,cat_elev_MEAN,cat_slope_MEAN,wtd_north_per,wtd_slope_MEAN,wtd_glacier_per,wtd_lake_per,wtd_wet_per,wtd_lcld_jd,summer_precip,Chinook,Sockeye,Chum,Pink,Coho,Spawning,Rearing
Copper_River,190201021304,2016,High Precipitation,0.20448238629545334,98.27784098098059,4766.155699693501,1e-5,587.228787569007,3.040286658988364,23.1456165,12.51386580229475,15.867518748575659,4.950080446995287,3.9051335,510.1019865194496,296.27,1,1,0,0,1,0,0
Copper_River,190201021405,2006,High Precipitation,0.41481997994310293,105.13831257686105,563.6779250119996,0.022604910000000002,532.3494496855341,11.135602871699444,17.7767448,3.023444487577007,0,8.685011627216563,5.3744378,493.1913515155149,292.83,1,1,0,0,0,1,0
Copper_River,190201021506,2006,High Precipitation,0.3900471073834764,113.57095396594627,732.987674961,1e-5,363.3783783783785,4.642315566042296,2.7492783,0.986006210826694,0,3.166338163440809,15.8247824,486.8943107108212,239.98,1,0,0,0,0,0,1
Copper_River,190201021602,2006,High Precipitation,0.21739238479357395,106.68576800364109,5555.15597477525,0.00443029,495.7426174496653,8.9226857067898,22.2765694,11.18988592378118,13.613850856199768,5.290262270536808,4.1383324,519.9965212298586,288.9,1,1,0,0,1,0,0
Copper_River,190201021603,2006,High Precipitation,0.2959341193856496,105.95208469194974,88.79725005674986,0.08273359000000001,477.1056338028172,19.471126357854253,25.3190155,2.376365979083366,0,3.256370888297916,14.6437616,491.5554521797039,292.27,0,0,0,0,0,1,0
Copper_River,190201021605,2006,High Precipitation,0.32484416918137426,108.29834145968586,176.49434994100017,0.01790367,519.1021437767596,4.808794168266648,27.5424805,5.155673300039283,0,2.381737447065632,15.7138853,495.13321691951546,279.72,0,0,0,0,0,1,0
Copper_River,190201021606,2006,High Precipitation,0.25836434344242526,112.42352876780566,5917.346799616001,0.00254478,433.5683852839309,4.759241670961062,22.3848,10.763320992202306,12.780569989310935,5.09991006536413,4.8623838,518.219122196603,253.03,1,1,0,0,1,0,0
Copper_River,190201021608,2006,High Precipitation,0.3293005473624755,111.06342588664133,6994.851824620251,0.002955,373.98988826197376,3.138725988895248,20.2584858,9.347403412023166,10.811818008399783,4.717428333884404,6.5872631,513.2599595573622,230.25,1,1,0,0,1,0,0
Copper_River,190201021609,2018,High Precipitation,0.3531124468753444,103.33025439561436,131.39452499325,0.00124864,484.1081081081078,3.051784654717145,32.6162071,4.15060006008733,0,2.710575672302025,11.600853,492.4811126459006,256.76,0,0,0,0,0,1,0
Copper_River,190201021610,2006,High Precipitation,0.310178953306209,111.62728322622053,265.6481001424997,0.01885159,432.28496906466114,9.010931115991042,24.3262596,2.972826402413511,0,1.726240002067819,17.2754154,488.4240328186643,252.13,0,0,0,0,0,1,0
