SiteID,Year,MA7d_DAT,MA7d_DMT,MxDAT,MnDAT,MxDMT,MnDMT,MnDNT,NDNT,MxDIFF,Jul,Aug,SIGMA_DAT,SIGMA_DMT,SIGMA_DNT,SD,CV_DAT,CV_DAT_K,RANGE_MAX,RANGE_MN,SUM_13_DMT,SUM_18_DMT,SUM_20_DMT,dur13,dur13mx,dur13gt6,dur13ct,dur18,dur18mx,dur18gt6,dur18ct,dur20,dur20mx,dur20gt6,dur20ct,MxDMT_jd,MA7d_DMT_jd,Jun
NPS_Long Lake Creek,2014,17.963410714285715,19.276857142857143,18.7340416666667,15.66260733695652,20.103,16.67305434782609,14.862717391304347,6.965,13.138000000000002,16.953231182795697,16.49024596774194,3.9867307718724874,3.8307690849259437,4.972120073100812,1.996679937263979,0.1274806866001637,0.0069134098946534595,5.519,1.8103369565217389,89,24,1,89,89,1,1,3.4285714285714284,9,1,7,1,1,0,1,216,215,13.473736111111105
NPS_Rock Creek WRST,2010,6.76264880952381,10.246714285714287,7.93454166666667,5.58834706439394,11.419,7.927420454545454,3.9436704545454546,1.235,10.184000000000001,5.417283045977011,6.132345430107527,0.8232709056402293,2.390961464864159,0.6726010050940439,0.907342771856496,0.16236335385066103,0.0032551774142754912,7.513000000000001,3.98375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,155,5.163236607142857
NPS_Rock Creek WRST,2011,7.545005952380953,10.460142857142857,8.86516666666667,5.655715126811595,12.389,7.416880434782609,4.330304347826087,1.751,10.638,5.997685483870969,5.102076612903225,0.8043763066345081,2.5823793371954133,0.5497476426182514,0.8968702841740873,0.15857769779145459,0.0032168289081382535,6.586,3.0865760869565215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,178,5.874438888888889
NPS_Rock Creek WRST,2012,7.386928571428571,8.762285714285714,8.04279166666667,5.516022471910112,10.124,7.027955056179775,4.38208988764045,0.384,9.74,5.766293010752688,6.405154761904762,1.746077516613644,2.1650263843207354,2.312526060010214,1.3213922644747258,0.23955527215558067,0.0047418492313964266,7.0969999999999995,2.6458651685393257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,210,4.427552777777778
NPS_Rock Creek WRST,2018,7.411922619047617,9.953714285714286,8.6425,5.572094846491228,12.751,7.8825,3.919763157894737,0.577,12.174,NA,6.093063218390804,1.2911402512777166,2.7165803066666667,1.7928997298245613,1.1362835259202329,0.20392393834353975,0.004076761573373112,8.766,3.9627368421052633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,216,4.80405138888889
NPS_Rock Creek WRST,2020,6.432398809523809,9.282428571428571,7.11720833333333,5.389591938405797,10.222,7.588826086956522,3.784217391304348,0.273,9.949,6.091595430107526,5.835736559139785,1.08496582957639,2.1011099694218824,1.3267339302436694,1.0416169303426237,0.19326452582061837,0.0037395650761668365,6.995,3.804608695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,198,4.203172222222222
NPS_Rufus Creek,2009,4.646252976190476,7.348142857142856,4.8693125,4.072401229571384,7.795,5.981782608695652,2.8309239130434785,1.994,5.801,4.386876815946008,3.7913003174330813,0.17899111320685468,1.3624029632107022,0.09083974139990444,0.42307341349564226,0.10388794955259609,0.0015261155361874523,5.231999999999999,3.150858695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,159,4.037914066193853
NPS_Rufus Creek,2010,4.529970238095239,7.403,4.86883333333333,4.196158061594203,8.519,6.0295,3.103630434782609,2.396,6.123,4.147948924731183,4.201533602150537,0.10119492691308157,1.0903757252747253,0.07928744433827044,0.3181115007557595,0.07581018066676513,0.0011469836214032282,5.909000000000001,2.925869565217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,155,4.240419444444445
NPS_Rufus Creek,2011,4.6178214285714265,7.194714285714285,4.79008333333333,4.205757699275362,7.695,6.01595652173913,3.0867173913043477,2.37,5.325,4.382802419354839,3.9682244623655913,0.09630644024455691,0.8360390090778788,0.07810238079311993,0.3103327895091927,0.07378760539692097,0.0011188979528799574,5.325,2.9292391304347825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,189,4.2682625
NPS_Rufus Creek,2012,4.653404761904762,6.518714285714286,4.91679166666667,4.2548600543478265,7.519,5.718195652173913,3.271815217391304,2.182,5.337,4.321818548387098,4.238310483870968,0.09143679256645011,0.5997978294314381,0.10468318526039178,0.3023851725307478,0.0710681828939957,0.001090050017405986,4.377000000000001,2.4463804347826086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,210,4.202770833333333
